c,h,l,n,o,t,v,vw
0.57,0.65,0.549751,298,0.55,2021-11-16T05:00:00Z,765595,0.587704
0.595,0.63,0.55,225,0.55,2021-11-17T05:00:00Z,378164,0.598283
0.5289,0.58,0.4673,1357,0.5612,2021-11-18T05:00:00Z,1034038,0.517714
0.53,0.53,0.53,7,0.53,2021-11-19T05:00:00Z,900,0.53
0.5402,0.55,0.54,75,0.55,2021-11-22T05:00:00Z,74000,0.549568
0.5369,0.55,0.4801,266,0.5201,2021-11-23T05:00:00Z,85402,0.514502
0.528,0.53,0.528,6,0.528,2021-11-24T05:00:00Z,590,0.528644
0.528,0.528,0.528,0,0.528,2021-11-26T05:00:00Z,0,0.0
0.5,0.535,0.48,54,0.518,2021-11-29T05:00:00Z,77589,0.492438
0.5199,0.52,0.49,27,0.49,2021-11-30T05:00:00Z,10341,0.497309
0.52,0.538,0.49,59,0.49,2021-12-01T05:00:00Z,57084,0.506974
0.52,0.52,0.52,0,0.52,2021-12-02T05:00:00Z,0,0.0
0.4899,0.52,0.4803,94,0.5,2021-12-03T05:00:00Z,199745,0.498379
0.49,0.4901,0.49,29,0.49,2021-12-06T05:00:00Z,51718,0.49
0.4825,0.491,0.4801,64,0.491,2021-12-07T05:00:00Z,35177,0.488908
0.4803,0.4811,0.48,30,0.48,2021-12-08T05:00:00Z,57516,0.480147
0.4813,0.4902,0.4812,27,0.4901,2021-12-09T05:00:00Z,13791,0.487674
0.483,0.54,0.483,47,0.52,2021-12-10T05:00:00Z,25646,0.520611
0.485,0.4903,0.48,19,0.4901,2021-12-13T05:00:00Z,160511,0.480512
0.48,0.4802,0.48,61,0.4801,2021-12-14T05:00:00Z,39281,0.480084
0.5194,0.5194,0.47,8,0.4712,2021-12-15T05:00:00Z,1876,0.493897
0.5188,0.5188,0.471201,4,0.471201,2021-12-16T05:00:00Z,5675,0.476078
0.5183,0.5183,0.4727,5,0.4727,2021-12-17T05:00:00Z,1625,0.508615
0.5183,0.5183,0.5183,0,0.5183,2021-12-20T05:00:00Z,0,0.0
0.5182,0.5182,0.5095,6,0.5095,2021-12-21T05:00:00Z,1200,0.516538
0.4702,0.4702,0.4702,2,0.4702,2021-12-22T05:00:00Z,1584,0.4702
0.4702,0.4702,0.4702,0,0.4702,2021-12-23T05:00:00Z,0,0.0
0.4702,0.4702,0.4702,0,0.4702,2021-12-27T05:00:00Z,0,0.0
0.4701,0.5149,0.47,35,0.4999,2021-12-28T05:00:00Z,21811,0.481941
0.471,0.471,0.471,2,0.471,2021-12-29T05:00:00Z,922,0.471362
0.471,0.471,0.471,0,0.471,2021-12-30T05:00:00Z,0,0.0
0.4701,0.4701,0.4701,3,0.4701,2021-12-31T05:00:00Z,117,0.471374
0.46,0.4768,0.4591,47,0.4701,2022-01-03T05:00:00Z,8797,0.469092
0.46,0.46,0.46,0,0.46,2022-01-04T05:00:00Z,0,0.0
0.456,0.4749,0.43,56,0.46,2022-01-05T05:00:00Z,75200,0.441454
0.4799,0.4799,0.43,19,0.4351,2022-01-06T05:00:00Z,9880,0.437567
0.4796,0.4796,0.4301,7,0.4649,2022-01-07T05:00:00Z,1600,0.45215
0.49,0.4999,0.44,41,0.44,2022-01-10T05:00:00Z,28833,0.454835
0.47,0.47,0.47,2,0.47,2022-01-11T05:00:00Z,2000,0.47
0.47,0.47,0.47,0,0.47,2022-01-12T05:00:00Z,0,0.0
0.4402,0.47,0.44,14,0.47,2022-01-13T05:00:00Z,13073,0.441596
0.47,0.5,0.45,7,0.5,2022-01-14T05:00:00Z,29500,0.496949
0.47,0.47,0.47,0,0.47,2022-01-18T05:00:00Z,0,0.0
0.47,0.47,0.47,0,0.47,2022-01-19T05:00:00Z,0,0.0
0.44,0.45,0.43,33,0.43,2022-01-20T05:00:00Z,56029,0.442109
0.41,0.42,0.39,40,0.42,2022-01-21T05:00:00Z,41466,0.411172
0.41,0.41,0.38,4,0.38,2022-01-24T05:00:00Z,301,0.4001
0.41,0.41,0.38,10,0.3801,2022-01-25T05:00:00Z,6100,0.394756
0.42,0.44,0.3984,22,0.41,2022-01-26T05:00:00Z,9999,0.425884
0.3945,0.43,0.3945,27,0.394601,2022-01-27T05:00:00Z,12370,0.423803
0.389,0.3899,0.3872,8,0.3899,2022-01-28T05:00:00Z,26128,0.389778
0.385,0.385,0.3825,16,0.385,2022-01-31T05:00:00Z,101147,0.384161
0.385,0.385,0.3749,27,0.385,2022-02-01T05:00:00Z,3670,0.383894
0.3791,0.4199,0.3791,34,0.3898,2022-02-02T05:00:00Z,25384,0.388412
0.3791,0.3791,0.3791,0,0.3791,2022-02-03T05:00:00Z,0,0.0
0.3791,0.3791,0.3791,0,0.3791,2022-02-04T05:00:00Z,0,0.0
0.3791,0.3791,0.3791,0,0.3791,2022-02-07T05:00:00Z,0,0.0
0.3833,0.3932,0.35,66,0.37,2022-02-08T05:00:00Z,31148,0.362291
0.3833,0.3833,0.3833,0,0.3833,2022-02-09T05:00:00Z,0,0.0
0.3833,0.3833,0.3833,0,0.3833,2022-02-10T05:00:00Z,0,0.0
0.3852,0.3852,0.3851,5,0.3851,2022-02-11T05:00:00Z,500,0.38514
0.3899,0.3899,0.37,19,0.373,2022-02-14T05:00:00Z,9800,0.370559
0.3799,0.3799,0.3799,3,0.3799,2022-02-15T05:00:00Z,500,0.3799
0.3815,0.3815,0.2687,56,0.365,2022-02-16T05:00:00Z,58137,0.354674
0.3815,0.3815,0.3815,0,0.3815,2022-02-17T05:00:00Z,0,0.0
0.37,0.37,0.37,1,0.37,2022-02-18T05:00:00Z,300,0.37
0.37,0.37,0.37,1,0.37,2022-02-22T05:00:00Z,200,0.37
0.37,0.37,0.37,1,0.37,2022-02-23T05:00:00Z,200,0.37
0.36,0.36,0.36,3,0.36,2022-02-24T05:00:00Z,600,0.36
0.36,0.36,0.36,1,0.36,2022-02-25T05:00:00Z,200,0.36
0.32,0.36,0.2679,71,0.36,2022-02-28T05:00:00Z,37167,0.320474
0.33,0.33,0.33,1,0.33,2022-03-01T05:00:00Z,200,0.33
0.3083,0.33,0.3083,39,0.33,2022-03-02T05:00:00Z,31470,0.320003
0.32,0.3299,0.32,2,0.3299,2022-03-03T05:00:00Z,300,0.3266
0.32,0.32,0.3199,2,0.3199,2022-03-04T05:00:00Z,33509,0.319999
0.3178,0.3179,0.3178,5,0.3179,2022-03-07T05:00:00Z,600,0.317867
0.308,0.308,0.308,3,0.308,2022-03-08T05:00:00Z,600,0.308
0.31,0.31,0.31,2,0.31,2022-03-09T05:00:00Z,200,0.31
0.31,0.31,0.3099,5,0.3099,2022-03-10T05:00:00Z,800,0.30995
0.31,0.31,0.270201,8,0.3099,2022-03-11T05:00:00Z,1700,0.307624
0.28,0.3099,0.28,5,0.3099,2022-03-14T04:00:00Z,600,0.2996
