c,h,l,n,o,t,v,vw
8.36,8.39,7.91,1870,8.33,2016-01-04T05:00:00Z,397522,8.231861
8.31,8.59,8.1,1284,8.33,2016-01-05T05:00:00Z,153017,8.273086
8.12,8.29,8.06,1413,8.22,2016-01-06T05:00:00Z,193769,8.15761
8.15,8.245,7.86,2073,8.02,2016-01-07T05:00:00Z,337419,8.121658
7.96,8.24,7.73,1688,8.24,2016-01-08T05:00:00Z,203691,7.97573
7.57,8.13,7.17,2188,8.0,2016-01-11T05:00:00Z,363323,7.562518
7.8,8.1,7.34,2405,7.66,2016-01-12T05:00:00Z,624487,7.811908
7.72,8.2499,7.5,2169,7.86,2016-01-13T05:00:00Z,370849,7.828879
6.96,7.78,6.93,3287,7.78,2016-01-14T05:00:00Z,669047,7.13272
6.88,6.95,6.42,3302,6.74,2016-01-15T05:00:00Z,699343,6.689824
6.74,6.86,6.445,3247,6.74,2016-01-19T05:00:00Z,325090,6.62748
6.93,7.01,6.38,2949,6.59,2016-01-20T05:00:00Z,341537,6.768404
6.86,7.21,6.585,2824,6.92,2016-01-21T05:00:00Z,294295,6.98032
7.16,7.31,6.745,3858,6.97,2016-01-22T05:00:00Z,442206,7.161812
6.56,7.735,6.49,2347,7.23,2016-01-25T05:00:00Z,393337,6.755404
6.69,6.88,6.42,1660,6.55,2016-01-26T05:00:00Z,202415,6.670433
6.12,6.66,6.09,2394,6.62,2016-01-27T05:00:00Z,458588,6.307053
5.89,6.32,5.85,2610,6.17,2016-01-28T05:00:00Z,273286,6.027925
5.94,6.2,5.87,2897,6.01,2016-01-29T05:00:00Z,529035,6.010404
5.97,6.17,5.77,2483,5.93,2016-02-01T05:00:00Z,366702,5.986711
5.86,5.94,5.7,1421,5.93,2016-02-02T05:00:00Z,185835,5.829511
5.95,6.06,5.6,1480,5.99,2016-02-03T05:00:00Z,214286,5.907047
6.1,6.305,5.91,3662,5.95,2016-02-04T05:00:00Z,423060,6.077569
5.93,6.35,5.91,2344,6.11,2016-02-05T05:00:00Z,521675,6.042305
6.04,6.11,5.69,3003,5.92,2016-02-08T05:00:00Z,463145,5.980978
6.03,6.1,5.85,2462,6.0,2016-02-09T05:00:00Z,898411,6.004201
6.17,6.49,5.99,2338,6.12,2016-02-10T05:00:00Z,328106,6.188434
6.37,6.74,5.94,3210,6.08,2016-02-11T05:00:00Z,1105733,6.188992
6.37,7.06,6.16,1907,6.43,2016-02-12T05:00:00Z,552413,6.345845
7.01,7.04,6.33,2921,6.38,2016-02-16T05:00:00Z,381063,6.82922
6.94,7.33,6.835,3372,7.07,2016-02-17T05:00:00Z,448590,7.069821
7.03,7.18,6.55,2599,6.93,2016-02-18T05:00:00Z,295784,6.986783
6.77,7.04,6.74,1902,6.99,2016-02-19T05:00:00Z,221141,6.886532
7.03,7.08,6.71,1640,6.81,2016-02-22T05:00:00Z,243832,7.003446
6.7,7.18,6.435,3051,7.07,2016-02-23T05:00:00Z,385599,6.752824
6.69,7.07,6.3281,1711,6.66,2016-02-24T05:00:00Z,142329,6.653167
6.7,7.15,6.55,1624,6.68,2016-02-25T05:00:00Z,165894,6.686912
6.74,7.15,6.51,2076,6.71,2016-02-26T05:00:00Z,255158,6.746303
6.65,6.91,6.62,2013,6.75,2016-02-29T05:00:00Z,259612,6.735865
6.7,7.06,6.49,3997,6.68,2016-03-01T05:00:00Z,789019,6.652057
6.9,7.09,6.63,3328,6.72,2016-03-02T05:00:00Z,844983,6.772006
7.08,7.77,6.79,3208,6.97,2016-03-03T05:00:00Z,374866,7.009518
7.2,7.45,6.92,2358,7.07,2016-03-04T05:00:00Z,307825,7.22084
7.35,7.72,7.02,2279,7.23,2016-03-07T05:00:00Z,283916,7.400522
7.1,7.54,7.08,2021,7.38,2016-03-08T05:00:00Z,347321,7.250733
7.04,7.51,6.9,3570,7.15,2016-03-09T05:00:00Z,588429,7.068455
7.8,7.89,7.28,10112,7.7,2016-03-10T05:00:00Z,2158022,7.604617
7.12,7.88,6.92,4075,7.59,2016-03-11T05:00:00Z,773867,7.246799
7.35,7.41,6.9,2514,7.03,2016-03-14T04:00:00Z,306715,7.211661
7.1,7.41,7.03,3114,7.37,2016-03-15T04:00:00Z,339161,7.165583
7.17,7.23,6.98,3426,7.03,2016-03-16T04:00:00Z,433660,7.091825
7.5,7.61,7.07,2196,7.14,2016-03-17T04:00:00Z,246414,7.401819
7.66,7.7,7.45,2678,7.56,2016-03-18T04:00:00Z,473692,7.606432
7.68,7.9,7.51,2362,7.66,2016-03-21T04:00:00Z,316553,7.707692
7.57,7.69,7.42,2106,7.69,2016-03-22T04:00:00Z,204380,7.544153
7.09,7.57,7.01,3014,7.52,2016-03-23T04:00:00Z,418121,7.182044
7.15,7.24,6.97,1987,7.15,2016-03-24T04:00:00Z,273712,7.138062
7.13,7.245,7.03,1363,7.16,2016-03-28T04:00:00Z,136510,7.14424
7.31,7.43,7.04,2907,7.12,2016-03-29T04:00:00Z,448090,7.199
7.41,7.505,7.25,2016,7.35,2016-03-30T04:00:00Z,277545,7.391799
7.33,7.58,7.24,2191,7.42,2016-03-31T04:00:00Z,299408,7.366674
7.51,7.66,7.14,2024,7.24,2016-04-01T04:00:00Z,285825,7.43474
7.33,7.51,7.14,1538,7.51,2016-04-04T04:00:00Z,203221,7.344612
7.11,7.26,7.06,2380,7.26,2016-04-05T04:00:00Z,317529,7.119275
7.07,7.2,7.0,2187,7.05,2016-04-06T04:00:00Z,262194,7.07058
7.03,7.19,6.94,1463,7.02,2016-04-07T04:00:00Z,249001,7.018698
7.06,7.1,6.98,1563,7.1,2016-04-08T04:00:00Z,213396,7.026247
7.1,7.31,7.02,1395,7.12,2016-04-11T04:00:00Z,194894,7.122303
7.13,7.38,7.02,1472,7.04,2016-04-12T04:00:00Z,171183,7.17944
7.26,7.44,7.15,1597,7.15,2016-04-13T04:00:00Z,217616,7.287249
7.26,7.31,7.18,732,7.28,2016-04-14T04:00:00Z,76044,7.264323
7.37,7.51,7.16,1271,7.26,2016-04-15T04:00:00Z,168386,7.371632
7.74,7.79,7.3,2169,7.37,2016-04-18T04:00:00Z,412326,7.631721
7.41,7.818,7.15,1858,7.74,2016-04-19T04:00:00Z,250457,7.468554
7.7,7.79,7.37,1411,7.39,2016-04-20T04:00:00Z,189639,7.658674
7.71,7.8299,7.59,1644,7.7,2016-04-21T04:00:00Z,196671,7.718202
7.81,7.83,7.4772,1321,7.7,2016-04-22T04:00:00Z,178336,7.77659
7.97,8.1,7.55,2079,7.55,2016-04-25T04:00:00Z,316788,7.899421
7.96,8.35,7.92,2062,8.0,2016-04-26T04:00:00Z,224027,8.065037
8.18,8.27,7.909,2178,7.97,2016-04-27T04:00:00Z,288176,8.135764
8.21,8.6,8.11,1792,8.19,2016-04-28T04:00:00Z,255132,8.345613
8.28,8.585,8.13,1795,8.3,2016-04-29T04:00:00Z,243537,8.274387
8.36,8.71,8.26,2437,8.44,2016-05-02T04:00:00Z,320397,8.379077
8.11,8.36,7.91,2231,8.31,2016-05-03T04:00:00Z,277961,8.142424
8.13,8.33,8.03,3526,8.1,2016-05-04T04:00:00Z,649025,8.146357
8.49,8.94,7.97,3929,7.97,2016-05-05T04:00:00Z,524721,8.533555
8.93,9.0485,8.47,2623,8.49,2016-05-06T04:00:00Z,294073,8.791536
9.05,9.22,8.8201,1871,8.91,2016-05-09T04:00:00Z,224443,9.014227
9.35,9.4297,9.0339,1525,9.16,2016-05-10T04:00:00Z,177213,9.310699
9.02,9.55,8.99,2090,9.32,2016-05-11T04:00:00Z,267159,9.229055
9.02,9.29,8.79,2435,8.86,2016-05-12T04:00:00Z,389218,8.991977
8.71,9.05,8.54,1598,9.0,2016-05-13T04:00:00Z,200962,8.766863
9.12,9.18,8.655,1847,8.71,2016-05-16T04:00:00Z,287573,8.998715
8.86,9.14,8.71,2599,9.1,2016-05-17T04:00:00Z,417941,8.83987
8.77,8.88,8.67,1792,8.84,2016-05-18T04:00:00Z,181622,8.769655
8.59,8.855,8.54,2415,8.74,2016-05-19T04:00:00Z,360018,8.689915
8.99,9.02,8.62,1103,8.68,2016-05-20T04:00:00Z,130655,8.890204
8.91,9.24,8.84,1215,8.95,2016-05-23T04:00:00Z,134583,8.963565
8.84,9.2,8.75,2241,8.91,2016-05-24T04:00:00Z,222836,8.878351
9.05,9.15,8.754,922,8.87,2016-05-25T04:00:00Z,107811,9.038822
9.42,9.449,9.11,1600,9.11,2016-05-26T04:00:00Z,202388,9.362111
9.89,9.91,9.38,1828,9.38,2016-05-27T04:00:00Z,247933,9.78041
9.26,9.9,9.22,3183,9.89,2016-05-31T04:00:00Z,498450,9.515658
9.1,9.37,8.91,5455,9.24,2016-06-01T04:00:00Z,1019076,9.110115
9.38,9.65,8.9701,2041,9.11,2016-06-02T04:00:00Z,274383,9.398257
9.47,9.47,9.23,1928,9.36,2016-06-03T04:00:00Z,227070,9.362939
9.66,9.73,9.33,1904,9.45,2016-06-06T04:00:00Z,198710,9.594892
9.99,10.09,9.64,1740,9.64,2016-06-07T04:00:00Z,220543,9.957193
10.13,10.2,9.92,1356,9.99,2016-06-08T04:00:00Z,178354,10.083018
10.0,10.1,9.8,1653,10.1,2016-06-09T04:00:00Z,204780,9.927272
9.55,10.0,9.495,1903,9.88,2016-06-10T04:00:00Z,231368,9.609362
9.29,9.9,9.255,1769,9.55,2016-06-13T04:00:00Z,180190,9.396566
9.15,9.37,9.0,1910,9.25,2016-06-14T04:00:00Z,214739,9.119717
9.14,9.48,9.1,1445,9.19,2016-06-15T04:00:00Z,154356,9.277599
9.25,9.3,8.845,1255,9.12,2016-06-16T04:00:00Z,121428,9.13285
9.27,9.49,9.14,1461,9.28,2016-06-17T04:00:00Z,292082,9.291335
9.39,9.702,9.32,964,9.34,2016-06-20T04:00:00Z,106401,9.471002
9.45,9.47,9.21,1170,9.39,2016-06-21T04:00:00Z,165968,9.345312
9.34,9.81,9.32,908,9.44,2016-06-22T04:00:00Z,86514,9.430009
9.73,9.78,9.47,1082,9.47,2016-06-23T04:00:00Z,150967,9.648835
9.49,9.6,9.18,2577,9.36,2016-06-24T04:00:00Z,695229,9.448905
9.11,9.49,8.99,2512,9.48,2016-06-27T04:00:00Z,327004,9.138797
9.07,9.453,8.99,3745,9.2,2016-06-28T04:00:00Z,443380,9.078517
9.18,9.32,8.841,1447,9.14,2016-06-29T04:00:00Z,162976,9.202402
9.33,9.35,9.03,1516,9.17,2016-06-30T04:00:00Z,169953,9.254201
9.86,9.86,9.23,1436,9.33,2016-07-01T04:00:00Z,178427,9.670052
9.77,9.93,9.54,1370,9.8,2016-07-05T04:00:00Z,154814,9.752832
9.49,9.8899,9.37,1134,9.76,2016-07-06T04:00:00Z,130911,9.563597
9.47,9.75,9.4,1689,9.48,2016-07-07T04:00:00Z,271452,9.536108
10.1,10.35,9.5,2026,9.55,2016-07-08T04:00:00Z,282718,10.101458
10.18,10.32,9.995,1409,10.14,2016-07-11T04:00:00Z,170594,10.169912
10.41,10.47,10.1001,1187,10.25,2016-07-12T04:00:00Z,171452,10.30506
10.43,10.63,10.33,1520,10.43,2016-07-13T04:00:00Z,200552,10.457243
10.4,10.63,10.28,1506,10.48,2016-07-14T04:00:00Z,175036,10.45612
10.36,10.48,10.25,946,10.45,2016-07-15T04:00:00Z,101809,10.346553
10.38,10.5,10.28,800,10.36,2016-07-18T04:00:00Z,83747,10.403279
10.16,10.38,10.09,669,10.36,2016-07-19T04:00:00Z,80255,10.198073
10.03,10.34,10.0,855,10.18,2016-07-20T04:00:00Z,110911,10.099391
10.0,10.24,10.0,768,10.02,2016-07-21T04:00:00Z,77500,10.036646
10.02,10.0999,9.95,1604,10.01,2016-07-22T04:00:00Z,241960,10.009605
9.28,10.34,9.23,1625,10.01,2016-07-25T04:00:00Z,242806,9.698476
8.87,9.41,8.69,2020,9.29,2016-07-26T04:00:00Z,260264,8.944915
8.86,9.1,8.75,1196,8.87,2016-07-27T04:00:00Z,153629,8.881587
8.86,9.01,8.79,1315,8.8,2016-07-28T04:00:00Z,91954,8.887047
8.74,9.06,8.6975,1709,8.87,2016-07-29T04:00:00Z,225185,8.830462
8.87,8.94,8.56,1426,8.74,2016-08-01T04:00:00Z,192398,8.845077
8.73,8.96,8.61,1868,8.88,2016-08-02T04:00:00Z,238919,8.746074
8.69,8.81,8.53,1218,8.73,2016-08-03T04:00:00Z,159946,8.689613
8.26,8.75,8.2,1866,8.67,2016-08-04T04:00:00Z,270036,8.462457
10.6,11.81,8.75,8305,9.72,2016-08-05T04:00:00Z,1420618,10.483098
10.85,10.93,10.06,2328,10.59,2016-08-08T04:00:00Z,250798,10.739883
10.96,11.01,10.43,2883,10.8,2016-08-09T04:00:00Z,346833,10.753755
10.74,11.0499,10.62,1605,10.97,2016-08-10T04:00:00Z,179015,10.801666
10.7,10.76,10.56,1300,10.7,2016-08-11T04:00:00Z,150721,10.680409
10.59,10.83,10.55,1279,10.74,2016-08-12T04:00:00Z,138058,10.671103
10.53,10.67,9.8928,1733,10.38,2016-08-15T04:00:00Z,529880,10.371714
10.28,10.59,10.06,1637,10.45,2016-08-16T04:00:00Z,164624,10.274232
10.26,10.37,10.2,876,10.25,2016-08-17T04:00:00Z,101942,10.260412
10.3,10.55,10.05,1325,10.25,2016-08-18T04:00:00Z,138579,10.287301
10.4,10.43,10.2,1483,10.22,2016-08-19T04:00:00Z,202010,10.327152
10.61,10.86,10.22,1207,10.4,2016-08-22T04:00:00Z,108957,10.581027
10.52,10.7,10.45,1024,10.7,2016-08-23T04:00:00Z,116914,10.537668
10.3,10.63,10.24,928,10.47,2016-08-24T04:00:00Z,103393,10.359532
10.3,10.44,10.22,931,10.26,2016-08-25T04:00:00Z,101306,10.330233
10.31,10.519,10.14,763,10.232,2016-08-26T04:00:00Z,93974,10.299524
10.34,10.61,10.2357,1184,10.3,2016-08-29T04:00:00Z,155908,10.34422
10.22,10.45,10.185,1202,10.37,2016-08-30T04:00:00Z,172575,10.268483
10.51,10.75,10.13,1107,10.21,2016-08-31T04:00:00Z,147411,10.506079
10.51,10.54,10.125,1150,10.48,2016-09-01T04:00:00Z,127377,10.416398
10.23,10.61,10.22,1114,10.55,2016-09-02T04:00:00Z,162765,10.321382
10.5,10.5899,10.195,1204,10.23,2016-09-06T04:00:00Z,121152,10.41174
10.34,10.65,10.3,1397,10.43,2016-09-07T04:00:00Z,134134,10.425058
10.38,10.55,10.22,821,10.29,2016-09-08T04:00:00Z,81005,10.411036
9.85,10.325,9.83,1445,10.27,2016-09-09T04:00:00Z,150581,9.99568
9.8,10.14,9.66,1658,9.79,2016-09-12T04:00:00Z,177663,9.808839
9.77,10.08,9.591,1517,9.7,2016-09-13T04:00:00Z,168399,9.771065
10.03,10.33,9.83,1632,9.87,2016-09-14T04:00:00Z,188507,10.048692
9.97,10.29,9.845,1229,10.03,2016-09-15T04:00:00Z,124097,9.989854
9.65,10.24,9.62,2358,10.24,2016-09-16T04:00:00Z,473674,9.89968
9.08,9.9692,8.9877,2209,9.66,2016-09-19T04:00:00Z,347907,9.164879
9.16,9.37,8.86,2092,9.1,2016-09-20T04:00:00Z,340074,9.089207
8.96,9.59,8.89,1138,9.17,2016-09-21T04:00:00Z,124168,8.997822
9.11,9.17,8.88,1358,9.05,2016-09-22T04:00:00Z,130226,9.062137
9.12,9.19,8.97,1242,9.08,2016-09-23T04:00:00Z,230028,9.095747
8.9,9.41,8.79,2114,9.07,2016-09-26T04:00:00Z,251754,8.899966
9.02,9.23,8.71,1611,8.87,2016-09-27T04:00:00Z,220807,8.993489
9.15,9.23,8.86,1200,9.07,2016-09-28T04:00:00Z,178416,9.023957
8.76,9.155,8.74,1433,9.14,2016-09-29T04:00:00Z,118924,8.845379
8.65,8.87,8.61,2026,8.77,2016-09-30T04:00:00Z,302132,8.714413
8.65,8.7,8.4,2038,8.59,2016-10-03T04:00:00Z,346737,8.601602
8.7,9.08,8.47,2948,8.67,2016-10-04T04:00:00Z,520728,8.677072
8.65,8.8,8.57,2804,8.68,2016-10-05T04:00:00Z,667145,8.668616
8.56,8.72,8.46,2890,8.66,2016-10-06T04:00:00Z,349700,8.534579
8.74,8.76,8.51,1328,8.54,2016-10-07T04:00:00Z,148084,8.665655
8.75,8.95,8.72,1259,8.75,2016-10-10T04:00:00Z,180157,8.788111
8.64,8.84,8.54,1283,8.75,2016-10-11T04:00:00Z,139093,8.614672
8.65,8.76,8.56,978,8.6,2016-10-12T04:00:00Z,113885,8.662636
8.66,8.7,8.49,1212,8.6,2016-10-13T04:00:00Z,134359,8.652319
8.79,8.89,8.65,1611,8.69,2016-10-14T04:00:00Z,204154,8.764308
8.9,8.95,8.65,640,8.75,2016-10-17T04:00:00Z,82369,8.821101
9.0,9.1,8.8,740,8.95,2016-10-18T04:00:00Z,104947,9.016975
9.15,9.35,8.9,1102,9.05,2016-10-19T04:00:00Z,323964,9.057469
9.05,9.2,8.975,777,9.05,2016-10-20T04:00:00Z,90198,9.057471
9.0,9.1,8.9,478,8.95,2016-10-21T04:00:00Z,47904,9.018093
9.0,9.35,8.85,1041,9.0,2016-10-24T04:00:00Z,328289,9.061212
9.0,9.1,8.9,832,9.0,2016-10-25T04:00:00Z,100826,8.978957
8.55,9.0,8.45,1731,9.0,2016-10-26T04:00:00Z,404649,8.644173
8.35,8.75,8.25,1574,8.65,2016-10-27T04:00:00Z,252836,8.40912
8.4,8.55,8.15,1420,8.3,2016-10-28T04:00:00Z,341895,8.402223
8.5,8.85,8.35,1775,8.4,2016-10-31T04:00:00Z,521892,8.55702
8.2,8.5,8.125,3208,8.45,2016-11-01T04:00:00Z,761091,8.317635
8.75,8.95,7.6,4693,8.65,2016-11-02T04:00:00Z,1499171,8.131281
8.3,8.75,8.15,2241,8.7,2016-11-03T04:00:00Z,310334,8.317396
8.1,8.45,8.05,2095,8.35,2016-11-04T04:00:00Z,261358,8.186758
8.05,8.3,7.95,1039,8.2,2016-11-07T05:00:00Z,174965,8.072912
8.35,8.4,8.0,865,8.1,2016-11-08T05:00:00Z,144209,8.290094
8.65,8.65,8.05,1297,8.15,2016-11-09T05:00:00Z,198240,8.500751
8.55,8.75,8.35,1032,8.6,2016-11-10T05:00:00Z,148190,8.579385
8.75,8.9,8.25,1866,8.6,2016-11-11T05:00:00Z,300335,8.643914
8.7,9.0,8.6,1304,8.9,2016-11-14T05:00:00Z,190567,8.762794
8.7,8.8,8.6,964,8.75,2016-11-15T05:00:00Z,119660,8.703256
8.7,8.85,8.65,605,8.65,2016-11-16T05:00:00Z,87501,8.701714
9.05,9.1,8.7,1204,8.75,2016-11-17T05:00:00Z,129895,8.851151
8.8,9.1,8.7,1250,9.05,2016-11-18T05:00:00Z,161359,8.816727
8.8,8.9,8.7,660,8.85,2016-11-21T05:00:00Z,61049,8.784844
9.1,9.2,8.75,1121,8.75,2016-11-22T05:00:00Z,111321,9.025934
9.4,9.45,8.85,1028,9.1,2016-11-23T05:00:00Z,120213,9.179301
8.85,9.45,8.8,654,9.35,2016-11-25T05:00:00Z,81199,9.032014
8.8,9.0,8.6,939,8.8,2016-11-28T05:00:00Z,125398,8.833628
9.05,9.15,8.7,712,8.85,2016-11-29T05:00:00Z,101781,8.984218
9.25,9.35,9.0,1109,9.05,2016-11-30T05:00:00Z,141836,9.229453
8.95,9.5,8.75,1493,9.25,2016-12-01T05:00:00Z,210807,8.986326
9.1,9.2,8.9,487,8.9,2016-12-02T05:00:00Z,56945,9.072434
9.1,9.4,9.0,1269,9.1,2016-12-05T05:00:00Z,133436,9.169977
9.35,9.45,8.95,862,9.05,2016-12-06T05:00:00Z,93777,9.248686
9.3,9.55,9.2,966,9.3,2016-12-07T05:00:00Z,117088,9.379758
9.5,9.5,9.3,760,9.3,2016-12-08T05:00:00Z,94556,9.457035
9.85,9.95,9.35,1024,9.5,2016-12-09T05:00:00Z,127049,9.675661
9.65,9.95,9.55,837,9.8,2016-12-12T05:00:00Z,85224,9.727758
9.7,9.95,9.4,1276,9.75,2016-12-13T05:00:00Z,126622,9.742529
9.4,9.7,9.33,698,9.65,2016-12-14T05:00:00Z,77401,9.435901
9.6,9.775,9.25,889,9.35,2016-12-15T05:00:00Z,122871,9.573134
10.15,10.2,9.55,1550,9.65,2016-12-16T05:00:00Z,378170,9.909461
10.0,10.3,9.85,780,10.15,2016-12-19T05:00:00Z,86617,10.047594
10.0,10.2,9.85,943,10.1,2016-12-20T05:00:00Z,119661,9.995687
9.9,10.2,9.9,1349,10.0,2016-12-21T05:00:00Z,183421,9.989449
9.8,10.2,9.45,1335,9.9,2016-12-22T05:00:00Z,172360,9.838762
10.1,10.25,9.8,916,9.8,2016-12-23T05:00:00Z,98853,10.049279
10.05,10.35,9.95,690,10.2,2016-12-27T05:00:00Z,86052,10.117108
10.0,10.25,9.9,789,10.0,2016-12-28T05:00:00Z,112715,10.013844
10.15,10.4,10.0,570,10.05,2016-12-29T05:00:00Z,60164,10.108677
10.15,10.25,10.05,823,10.2,2016-12-30T05:00:00Z,113168,10.141128
10.2,10.35,9.95,1109,10.2,2017-01-03T05:00:00Z,129213,10.1344
10.5,10.65,10.2,1034,10.2,2017-01-04T05:00:00Z,135325,10.481962
10.35,10.6,10.2,1222,10.4,2017-01-05T05:00:00Z,137071,10.40358
10.1,10.35,10.0,1015,10.15,2017-01-06T05:00:00Z,123347,10.178749
10.0,10.25,10.0,967,10.2,2017-01-09T05:00:00Z,111753,10.116523
10.1,10.2,9.95,682,10.0,2017-01-10T05:00:00Z,69454,10.110877
10.25,10.55,10.025,1129,10.1,2017-01-11T05:00:00Z,131863,10.317477
10.1,10.3,10.05,872,10.2,2017-01-12T05:00:00Z,98899,10.173063
10.05,10.2,9.95,931,10.1,2017-01-13T05:00:00Z,105901,10.028058
10.05,10.15,9.9,1006,10.05,2017-01-17T05:00:00Z,121508,10.021931
10.1,10.35,10.0,989,10.15,2017-01-18T05:00:00Z,110626,10.175811
10.35,10.35,9.95,988,10.15,2017-01-19T05:00:00Z,89459,10.16459
10.65,10.7,10.2,911,10.3,2017-01-20T05:00:00Z,136411,10.515144
10.8,10.9,10.6,1110,10.65,2017-01-23T05:00:00Z,154889,10.782758
11.25,11.275,10.65,1212,10.75,2017-01-24T05:00:00Z,194716,11.120882
11.25,11.462,11.05,1519,11.3,2017-01-25T05:00:00Z,211787,11.275886
11.05,11.25,10.95,845,11.25,2017-01-26T05:00:00Z,87675,11.010712
11.1,11.15,10.85,1052,11.0,2017-01-27T05:00:00Z,148311,11.05497
11.1,11.2,10.9,772,11.0,2017-01-30T05:00:00Z,92788,11.061487
11.15,11.3,10.95,659,11.1,2017-01-31T05:00:00Z,98262,11.172737
10.9,11.3,10.7,790,11.25,2017-02-01T05:00:00Z,77632,10.899615
11.0,11.25,10.8,787,10.9,2017-02-02T05:00:00Z,91183,11.036537
11.15,11.25,11.0,705,11.05,2017-02-03T05:00:00Z,103171,11.116721
11.25,11.4,10.9,1479,11.4,2017-02-06T05:00:00Z,212153,11.212177
11.35,11.45,11.1,1254,11.45,2017-02-07T05:00:00Z,163704,11.346062
11.85,11.95,11.3,2046,11.4,2017-02-08T05:00:00Z,284842,11.645758
11.55,12.0,11.45,1201,11.8,2017-02-09T05:00:00Z,144213,11.680214
11.75,11.8,11.45,714,11.55,2017-02-10T05:00:00Z,77014,11.626873
11.55,11.85,11.45,840,11.8,2017-02-13T05:00:00Z,99830,11.577115
11.3,11.55,10.95,887,11.55,2017-02-14T05:00:00Z,102992,11.266718
11.0,11.25,10.9,1401,11.25,2017-02-15T05:00:00Z,151519,11.043561
10.9,11.1,10.75,622,11.1,2017-02-16T05:00:00Z,67377,10.922988
11.05,11.1,10.7,634,10.95,2017-02-17T05:00:00Z,98135,10.998359
11.5,11.6,11.05,1026,11.1,2017-02-21T05:00:00Z,126731,11.406481
11.6,11.7,11.4,850,11.45,2017-02-22T05:00:00Z,78653,11.558447
11.3,11.6,11.15,787,11.6,2017-02-23T05:00:00Z,69235,11.344045
10.95,11.3,10.75,988,11.2,2017-02-24T05:00:00Z,137942,10.959515
10.7,11.15,10.6,710,10.9,2017-02-27T05:00:00Z,80814,10.808791
10.1,10.65,10.05,1292,10.65,2017-02-28T05:00:00Z,147326,10.306329
10.0,10.45,9.95,1296,10.25,2017-03-01T05:00:00Z,170656,10.136503
9.75,10.1,9.725,889,10.05,2017-03-02T05:00:00Z,103900,9.874815
10.1,10.2,9.55,1128,9.7,2017-03-03T05:00:00Z,149761,9.96316
9.7,10.05,9.65,683,10.0,2017-03-06T05:00:00Z,90165,9.774865
9.5,9.8,9.45,1049,9.6,2017-03-07T05:00:00Z,101702,9.571556
9.5,9.625,9.25,924,9.5,2017-03-08T05:00:00Z,102475,9.491856
9.85,9.95,9.45,1639,9.55,2017-03-09T05:00:00Z,193757,9.782181
11.0,11.35,9.3,4587,9.75,2017-03-10T05:00:00Z,626319,10.938653
11.2,11.4,10.9,1879,11.0,2017-03-13T04:00:00Z,189453,11.222355
11.25,11.25,10.85,1419,11.2,2017-03-14T04:00:00Z,166876,11.093384
11.15,11.3,11.0,1187,11.25,2017-03-15T04:00:00Z,177921,11.175408
11.25,11.45,11.125,3272,11.25,2017-03-16T04:00:00Z,410644,11.245224
11.45,11.55,11.25,2465,11.3,2017-03-17T04:00:00Z,510375,11.389289
11.2,11.55,11.1,2055,11.4,2017-03-20T04:00:00Z,356327,11.231926
10.55,11.3,10.5,1444,11.3,2017-03-21T04:00:00Z,175874,10.757044
10.95,11.05,10.45,1745,10.55,2017-03-22T04:00:00Z,215309,10.822211
10.9,11.1,10.75,1084,10.9,2017-03-23T04:00:00Z,117109,10.960419
11.0,11.1,10.65,691,11.0,2017-03-24T04:00:00Z,78646,11.012221
11.4,11.45,10.759,1150,10.85,2017-03-27T04:00:00Z,140264,11.301574
11.4,11.45,11.1,806,11.3,2017-03-28T04:00:00Z,120109,11.339025
11.3,11.625,11.2,937,11.4,2017-03-29T04:00:00Z,252288,11.343244
10.85,11.3,10.85,1038,11.3,2017-03-30T04:00:00Z,163644,10.961638
11.0,11.05,10.8,689,10.85,2017-03-31T04:00:00Z,118505,10.978645
11.0,11.1,10.9,924,11.0,2017-04-03T04:00:00Z,101035,11.005723
10.9,11.05,10.8,1332,10.9,2017-04-04T04:00:00Z,167166,10.935167
11.0,11.15,10.9,787,11.0,2017-04-05T04:00:00Z,101318,11.041913
11.15,11.35,10.95,1119,11.0,2017-04-06T04:00:00Z,165641,11.162271
11.05,11.15,10.95,597,11.1,2017-04-07T04:00:00Z,82411,11.062126
11.0,11.15,10.95,700,11.0,2017-04-10T04:00:00Z,89795,11.01297
11.2,11.35,10.55,852,11.0,2017-04-11T04:00:00Z,93929,11.183996
11.1,11.25,10.95,526,11.2,2017-04-12T04:00:00Z,65646,11.102219
11.0,11.1,11.0,793,11.05,2017-04-13T04:00:00Z,85666,11.030912
11.35,11.35,11.0,1014,11.0,2017-04-17T04:00:00Z,132532,11.146404
11.15,11.55,11.0,1795,11.35,2017-04-18T04:00:00Z,906999,11.177951
11.55,11.65,11.05,1576,11.25,2017-04-19T04:00:00Z,459791,11.230056
11.55,11.65,11.25,944,11.6,2017-04-20T04:00:00Z,126242,11.532249
11.3,11.6,11.25,912,11.55,2017-04-21T04:00:00Z,121546,11.39765
11.5,11.7,11.4,820,11.5,2017-04-24T04:00:00Z,107752,11.526681
11.85,11.9,11.3,1105,11.55,2017-04-25T04:00:00Z,121757,11.724986
12.0,12.05,11.55,1220,11.8,2017-04-26T04:00:00Z,181018,11.906815
12.05,12.2,11.85,1454,12.0,2017-04-27T04:00:00Z,205722,12.053477
11.75,12.075,11.625,1274,12.0,2017-04-28T04:00:00Z,208719,11.766173
11.75,11.9,11.55,982,11.75,2017-05-01T04:00:00Z,100350,11.741536
