c,h,l,n,o,t,v,vw
9.955,9.955,9.9,52,9.9,2022-07-08T04:00:00Z,56129,9.900513
10.01,11.2,10.01,56,10.53,2022-07-11T04:00:00Z,1973,10.219785
9.96,9.96,9.95,10,9.95,2022-07-12T04:00:00Z,1604,9.957052
9.97,9.97,9.97,3,9.97,2022-07-13T04:00:00Z,128,9.97
9.99,10.0,9.98,50,9.9801,2022-07-14T04:00:00Z,79181,9.986735
9.99,9.99,9.99,7,9.99,2022-07-15T04:00:00Z,25247,9.99
9.9608,9.9608,9.9608,9,9.9608,2022-07-18T04:00:00Z,162,9.9608
9.9608,9.9608,9.9608,0,9.9608,2022-07-19T04:00:00Z,0,0.0
9.96,9.98,9.96,80,9.96,2022-07-20T04:00:00Z,40312,9.971564
9.99,9.99,9.99,13,9.99,2022-07-21T04:00:00Z,1742,9.99
9.99,9.99,9.99,5,9.99,2022-07-22T04:00:00Z,298789,9.99
9.99,9.99,9.99,0,9.99,2022-07-25T04:00:00Z,0,0.0
9.99,9.99,9.99,10,9.99,2022-07-26T04:00:00Z,8255,9.99
9.99,9.99,9.99,0,9.99,2022-07-27T04:00:00Z,0,0.0
9.99,9.99,9.99,9,9.99,2022-07-28T04:00:00Z,2101,9.99
9.99,9.99,9.99,0,9.99,2022-07-29T04:00:00Z,0,0.0
10.0,10.01,9.98,43,9.98,2022-08-01T04:00:00Z,33909,9.992537
9.9998,10.0,9.9995,34,10.0,2022-08-02T04:00:00Z,192560,9.999995
9.99,10.0,9.99,32,10.0,2022-08-03T04:00:00Z,71621,9.999832
9.99,9.99,9.99,0,9.99,2022-08-04T04:00:00Z,0,0.0
9.99,9.99,9.99,0,9.99,2022-08-05T04:00:00Z,0,0.0
10.01,10.01,10.0,6,10.0,2022-08-08T04:00:00Z,330000,10.009091
10.01,10.01,10.01,0,10.01,2022-08-09T04:00:00Z,0,0.0
10.01,10.01,10.01,0,10.01,2022-08-10T04:00:00Z,0,0.0
10.02,10.02,10.0,120,10.0,2022-08-11T04:00:00Z,277669,10.01021
10.02,10.02,10.01,78,10.015,2022-08-12T04:00:00Z,37388,10.010285
10.01,10.01,10.01,6,10.01,2022-08-15T04:00:00Z,509,10.01
10.02,10.02,10.02,7,10.02,2022-08-16T04:00:00Z,23600,10.02
10.0011,10.02,9.98,193,10.0199,2022-08-17T04:00:00Z,199532,10.007356
10.0,10.0,10.0,3,10.0,2022-08-18T04:00:00Z,151200,10.0
10.02,10.02,9.99,120,10.0,2022-08-19T04:00:00Z,67811,10.006364
10.03,10.03,10.03,12,10.03,2022-08-22T04:00:00Z,8214,10.03
10.79,10.79,10.03,98,10.03,2022-08-23T04:00:00Z,40211,10.066181
9.94,10.08,9.94,52,10.05,2022-08-24T04:00:00Z,16428,9.982121
10.01,10.02,10.01,80,10.01,2022-08-25T04:00:00Z,132017,10.010136
10.04,10.04,10.04,5,10.04,2022-08-26T04:00:00Z,575,10.04
10.0,10.04,10.0,68,10.04,2022-08-29T04:00:00Z,8432,10.025363
10.02,10.045,10.0,7,10.045,2022-08-30T04:00:00Z,47028,10.020102
10.02,10.02,10.02,0,10.02,2022-08-31T04:00:00Z,0,0.0
10.055,10.06,10.035,93,10.05,2022-09-01T04:00:00Z,76564,10.055085
10.08,10.08,10.06,136,10.06,2022-09-02T04:00:00Z,112300,10.069634
10.05,10.07,10.05,20,10.07,2022-09-06T04:00:00Z,5256,10.069616
10.01,10.07,10.01,13,10.05,2022-09-07T04:00:00Z,28559,10.017123
10.07,10.07,10.02,37,10.02,2022-09-08T04:00:00Z,7308,10.044886
10.07,10.07,10.05,16,10.05,2022-09-09T04:00:00Z,1155,10.051869
10.04,10.04,10.04,28,10.04,2022-09-12T04:00:00Z,4200,10.04
10.065,10.12,10.06,59,10.06,2022-09-13T04:00:00Z,12108,10.069467
10.065,10.065,10.065,0,10.065,2022-09-14T04:00:00Z,0,0.0
10.0,10.0,10.0,32,10.0,2022-09-15T04:00:00Z,3500,10.0
10.0,10.0,10.0,6,10.0,2022-09-16T04:00:00Z,461,10.0
10.01,10.04,9.995,49,10.01,2022-09-19T04:00:00Z,12589,10.004669
10.0001,10.0001,10.0,5,10.0,2022-09-20T04:00:00Z,712,10.00005
10.0001,10.0001,10.0001,0,10.0001,2022-09-21T04:00:00Z,0,0.0
10.0001,10.0001,10.0001,0,10.0001,2022-09-22T04:00:00Z,0,0.0
10.0,10.0,10.0,5,10.0,2022-09-23T04:00:00Z,615,10.0
10.0,10.0,10.0,0,10.0,2022-09-26T04:00:00Z,0,0.0
10.0,10.02,9.995,17,9.9995,2022-09-27T04:00:00Z,50799,10.000075
10.0001,10.0001,10.0,6,10.0,2022-09-28T04:00:00Z,1376,10.000058
10.06,10.07,10.0,27,10.0,2022-09-29T04:00:00Z,2907,10.031496
10.06,10.06,10.06,0,10.06,2022-09-30T04:00:00Z,0,0.0
10.01,10.01,10.01,6,10.01,2022-10-03T04:00:00Z,1104,10.01
10.01,10.01,10.01,0,10.01,2022-10-04T04:00:00Z,0,0.0
10.07,10.07,10.04,33,10.04,2022-10-05T04:00:00Z,4071,10.054499
10.065,10.0868,10.03,66,10.03,2022-10-06T04:00:00Z,35420,10.033286
10.045,10.05,10.04,30,10.04,2022-10-07T04:00:00Z,9666,10.045441
10.07,10.08,10.07,4,10.08,2022-10-10T04:00:00Z,204,10.075
10.07,10.07,10.07,0,10.07,2022-10-11T04:00:00Z,0,0.0
10.07,10.07,10.04,7,10.04,2022-10-12T04:00:00Z,1281,10.044075
10.03,10.07,10.03,32,10.06,2022-10-13T04:00:00Z,9001,10.033444
10.0301,10.07,10.03,21,10.03,2022-10-14T04:00:00Z,2501,10.040072
10.035,10.04,10.035,29,10.035,2022-10-17T04:00:00Z,10025,10.039451
10.035,10.035,10.035,0,10.035,2022-10-18T04:00:00Z,0,0.0
10.04,10.04,10.03,7,10.03,2022-10-19T04:00:00Z,2805,10.031111
10.04,10.04,10.035,22,10.035,2022-10-20T04:00:00Z,54849,10.039982
10.06,10.06,10.045,22,10.05,2022-10-21T04:00:00Z,50867,10.050171
10.0527,10.0527,10.0527,8,10.0527,2022-10-24T04:00:00Z,1209,10.0527
10.1001,10.28,10.055,189,10.06,2022-10-25T04:00:00Z,57355,10.078316
10.12,10.12,10.12,5,10.12,2022-10-26T04:00:00Z,203,10.12
10.12,10.19,10.1,57,10.12,2022-10-27T04:00:00Z,37843,10.120053
10.09,10.24,10.08,82,10.12,2022-10-28T04:00:00Z,372156,10.119889
10.09,10.09,10.09,0,10.09,2022-10-31T04:00:00Z,0,0.0
10.09,10.09,10.09,0,10.09,2022-11-01T04:00:00Z,0,0.0
10.11,10.11,10.09,16,10.1,2022-11-02T04:00:00Z,26683,10.099506
10.09,10.145,10.09,53,10.11,2022-11-03T04:00:00Z,131541,10.110993
10.09,10.335,10.07,88,10.12,2022-11-04T04:00:00Z,35587,10.106875
10.11,10.15,10.1,33,10.13,2022-11-07T05:00:00Z,3637,10.122963
10.1,10.2,10.1,69,10.135,2022-11-08T05:00:00Z,9072,10.131294
10.13,10.13,10.13,7,10.13,2022-11-09T05:00:00Z,926,10.13
10.13,10.15,10.13,13,10.13,2022-11-10T05:00:00Z,1378,10.137121
10.13,10.14,10.13,7,10.14,2022-11-11T05:00:00Z,700,10.131429
10.13,10.2008,10.13,17,10.2008,2022-11-14T05:00:00Z,1400,10.138429
10.13,10.17,10.13,97,10.165,2022-11-15T05:00:00Z,9626,10.155397
10.13,10.21,10.13,44,10.18,2022-11-16T05:00:00Z,5212,10.150875
10.13,10.28,10.13,106,10.13,2022-11-17T05:00:00Z,11870,10.157752
10.14,10.15,10.14,33,10.15,2022-11-18T05:00:00Z,4173,10.14837
10.16,10.16,10.13,32,10.16,2022-11-21T05:00:00Z,2944,10.152793
10.16,10.16,10.16,0,10.16,2022-11-22T05:00:00Z,0,0.0
10.16,10.16,10.16,0,10.16,2022-11-23T05:00:00Z,0,0.0
10.15,10.15,10.15,7,10.15,2022-11-25T05:00:00Z,1503,10.15
10.1746,10.1746,10.16,8,10.16,2022-11-28T05:00:00Z,1159,10.166489
10.18,10.19,10.17,35,10.19,2022-11-29T05:00:00Z,7887,10.182829
10.18,10.19,10.17,36,10.17,2022-11-30T05:00:00Z,7251,10.181035
10.2,10.375,10.18,285,10.18,2022-12-01T05:00:00Z,523442,10.189713
10.19,10.215,10.19,49,10.19,2022-12-02T05:00:00Z,4950,10.198994
10.19,10.271,10.19,81,10.19,2022-12-05T05:00:00Z,31067,10.193837
10.2,10.21,10.19,29,10.19,2022-12-06T05:00:00Z,5175,10.190589
10.2,10.2,10.2,27,10.2,2022-12-07T05:00:00Z,7935,10.2
10.2,10.21,10.2,4,10.2,2022-12-08T05:00:00Z,400,10.2025
10.22,10.22,10.2,40,10.2,2022-12-09T05:00:00Z,7442,10.208551
10.22,10.22,10.22,0,10.22,2022-12-12T05:00:00Z,0,0.0
10.23,10.23,10.23,15,10.23,2022-12-13T05:00:00Z,221,10.23
10.21,10.21,10.21,3,10.21,2022-12-14T05:00:00Z,237,10.21
10.2301,10.2301,10.2301,8,10.2301,2022-12-15T05:00:00Z,606,10.2301
10.225,10.225,10.22,11,10.22,2022-12-16T05:00:00Z,888,10.220625
10.22,10.22,10.22,15,10.22,2022-12-19T05:00:00Z,3701,10.22
10.29,10.29,10.22,5,10.22,2022-12-20T05:00:00Z,2479,10.269946
10.22,10.22,10.22,1,10.22,2022-12-21T05:00:00Z,1062,10.22
10.22,10.22,10.22,0,10.22,2022-12-22T05:00:00Z,0,0.0
10.23,10.24,10.23,9,10.24,2022-12-23T05:00:00Z,20782,10.230316
10.24,10.24,10.23,47,10.23,2022-12-27T05:00:00Z,35781,10.234249
10.32,10.33,10.25,290,10.25,2022-12-28T05:00:00Z,223581,10.261378
10.25,10.33,10.25,46,10.3,2022-12-29T05:00:00Z,7431,10.291729
10.25,10.685,10.25,286,10.2796,2022-12-30T05:00:00Z,96333,10.290993
10.3,10.31,10.26,37,10.26,2023-01-03T05:00:00Z,8289,10.298852
10.2899,10.38,10.25,168,10.25,2023-01-04T05:00:00Z,35079,10.304866
10.29,10.45,10.285,121,10.32,2023-01-05T05:00:00Z,28288,10.359745
10.25,10.4525,10.25,123,10.34,2023-01-06T05:00:00Z,22843,10.346858
10.27,10.75,10.27,19,10.41,2023-01-09T05:00:00Z,4173,10.328728
10.28,10.54,10.2797,130,10.28,2023-01-10T05:00:00Z,31148,10.297589
10.28,10.28,10.28,5,10.28,2023-01-11T05:00:00Z,500,10.28
10.285,10.3091,10.285,6,10.29,2023-01-12T05:00:00Z,792,10.291842
10.295,10.3,10.29,43,10.3,2023-01-13T05:00:00Z,46430,10.299968
10.3,10.33,10.3,4,10.33,2023-01-17T05:00:00Z,800,10.31125
10.32,10.8,10.32,5,10.49,2023-01-18T05:00:00Z,500,10.546
10.32,10.35,10.32,27,10.32,2023-01-19T05:00:00Z,18481,10.321623
10.32,10.32,10.32,5,10.32,2023-01-20T05:00:00Z,10370,10.32
10.32,10.33,10.3,23,10.3,2023-01-23T05:00:00Z,827040,10.320153
10.3425,10.3425,10.32,26,10.32,2023-01-24T05:00:00Z,19190,10.320125
10.35,10.37,10.35,2,10.37,2023-01-25T05:00:00Z,200,10.36
10.33,10.33,10.33,7,10.33,2023-01-26T05:00:00Z,4414,10.33
10.25,10.25,10.25,0,10.25,2023-01-27T05:00:00Z,0,0.0
10.345,10.35,10.32,52,10.33,2023-01-30T05:00:00Z,25974,10.339448
10.35,10.35,10.35,2,10.35,2023-01-31T05:00:00Z,650,10.35
10.35,10.35,10.34,6,10.35,2023-02-01T05:00:00Z,5800,10.34875
10.355,10.36,10.35,38,10.35,2023-02-02T05:00:00Z,5102,10.3526
10.355,10.415,10.35,17,10.415,2023-02-03T05:00:00Z,1160,10.364995
10.36,10.85,10.35,43,10.85,2023-02-06T05:00:00Z,16971,10.365417
10.35,10.35,10.35,5,10.35,2023-02-07T05:00:00Z,118,10.35
10.25,10.25,10.25,0,10.25,2023-02-08T05:00:00Z,0,0.0
10.25,10.25,10.25,0,10.25,2023-02-09T05:00:00Z,0,0.0
10.25,10.25,10.25,0,10.25,2023-02-10T05:00:00Z,0,0.0
10.3801,10.39,10.37,17,10.39,2023-02-13T05:00:00Z,1336,10.376176
10.39,10.4,10.39,250,10.395,2023-02-14T05:00:00Z,1588145,10.391089
10.41,10.41,10.38,69,10.39,2023-02-15T05:00:00Z,85441,10.389106
10.41,10.41,10.395,58,10.395,2023-02-16T05:00:00Z,51435,10.406809
10.4,10.4,10.4,2,10.4,2023-02-17T05:00:00Z,85020,10.4
10.4,10.41,10.4,57,10.41,2023-02-21T05:00:00Z,92943,10.408384
10.41,10.42,10.405,165,10.405,2023-02-22T05:00:00Z,504826,10.413429
10.415,10.42,10.41,58,10.41,2023-02-23T05:00:00Z,320701,10.411252
10.43,10.43,10.4136,32,10.4136,2023-02-24T05:00:00Z,19973,10.419809
10.45,10.45,10.43,39,10.43,2023-02-27T05:00:00Z,6560,10.432238
10.48,10.95,10.45,18,10.95,2023-02-28T05:00:00Z,6609,10.498413
10.42,10.44,10.41,140,10.42,2023-03-01T05:00:00Z,103800,10.420189
10.48,10.48,10.48,55,10.48,2023-03-02T05:00:00Z,13959,10.48
10.505,10.61,10.48,21,10.48,2023-03-03T05:00:00Z,35300,10.545297
10.47,10.48,10.47,5,10.48,2023-03-06T05:00:00Z,451,10.474464
10.4481,10.4481,10.4481,1,10.4481,2023-03-07T05:00:00Z,1005,10.4481
10.25,10.25,10.25,0,10.25,2023-03-08T05:00:00Z,0,0.0
10.25,10.25,10.25,0,10.25,2023-03-09T05:00:00Z,0,0.0
10.44,10.44,10.44,7,10.44,2023-03-10T05:00:00Z,1049,10.44
10.465,10.465,10.44,5,10.44,2023-03-13T04:00:00Z,1618,10.463385
10.45,10.45,10.45,27,10.45,2023-03-14T04:00:00Z,7525,10.45
10.44,10.44,10.44,0,10.44,2023-03-15T04:00:00Z,0,0.0
10.45,10.45,10.45,103,10.45,2023-03-16T04:00:00Z,603303,10.45
10.44,10.44,10.44,0,10.44,2023-03-17T04:00:00Z,0,0.0
10.45,10.45,10.45,10,10.45,2023-03-20T04:00:00Z,1795,10.45
10.47,10.47,10.45,11,10.45,2023-03-21T04:00:00Z,661933,10.451469
10.468,10.468,10.45,7,10.45,2023-03-22T04:00:00Z,2288,10.453425
10.44,10.44,10.44,0,10.44,2023-03-23T04:00:00Z,0,0.0
10.44,10.44,10.44,0,10.44,2023-03-24T04:00:00Z,0,0.0
10.48,10.48,10.47,69,10.475,2023-03-27T04:00:00Z,39924,10.470212
10.47,10.47,10.47,11,10.47,2023-03-28T04:00:00Z,247389,10.47
10.47,10.585,10.47,6,10.47,2023-03-29T04:00:00Z,2836,10.49094
10.44,10.44,10.44,0,10.44,2023-03-30T04:00:00Z,0,0.0
10.49,10.5,10.47,13,10.5,2023-03-31T04:00:00Z,124921,10.470143
10.48,10.49,10.48,31,10.49,2023-04-03T04:00:00Z,5266,10.482411
10.48,10.49,10.48,142,10.49,2023-04-04T04:00:00Z,9386,10.48694
10.48,10.49,10.48,29,10.48,2023-04-05T04:00:00Z,5446,10.481334
10.48,10.48,10.48,216,10.48,2023-04-06T04:00:00Z,179826,10.48
10.5,10.5,10.48,241,10.48,2023-04-10T04:00:00Z,213075,10.492769
10.49,10.5,10.49,9,10.5,2023-04-11T04:00:00Z,1741,10.490878
10.49,10.49,10.48,259,10.48,2023-04-12T04:00:00Z,142768,10.489818
10.495,10.495,10.49,5,10.49,2023-04-13T04:00:00Z,4896,10.492549
10.49,10.53,10.49,407,10.49,2023-04-14T04:00:00Z,124740,10.493222
10.5,10.54,10.49,203,10.5,2023-04-17T04:00:00Z,138796,10.500156
10.51,10.525,10.5,159,10.525,2023-04-18T04:00:00Z,93738,10.502419
10.52,10.52,10.5142,5,10.5142,2023-04-19T04:00:00Z,344,10.516133
10.525,10.53,10.52,145,10.52,2023-04-20T04:00:00Z,988946,10.526115
10.52,10.52,10.52,4,10.52,2023-04-21T04:00:00Z,1012,10.52
10.52,10.52,10.52,31,10.52,2023-04-24T04:00:00Z,31161,10.52
10.52,10.53,10.52,98,10.53,2023-04-25T04:00:00Z,36493,10.527215
10.52,10.98,10.52,13,10.98,2023-04-26T04:00:00Z,2497,10.794402
10.44,10.44,10.44,0,10.44,2023-04-27T04:00:00Z,0,0.0
10.52,10.5301,10.52,9,10.53,2023-04-28T04:00:00Z,729,10.527781
10.535,10.535,10.52,19,10.52,2023-05-01T04:00:00Z,18509,10.529405
10.55,10.555,10.54,155,10.54,2023-05-02T04:00:00Z,102193,10.545942
10.54,10.63,10.54,8,10.63,2023-05-03T04:00:00Z,5200,10.542212
10.58,10.58,10.57,8,10.58,2023-05-04T04:00:00Z,483,10.5775
10.44,10.44,10.44,0,10.44,2023-05-05T04:00:00Z,0,0.0
10.55,10.56,10.54,10,10.54,2023-05-08T04:00:00Z,4487,10.549434
10.55,10.56,10.55,8,10.56,2023-05-09T04:00:00Z,902,10.55651
10.555,10.555,10.555,2,10.555,2023-05-10T04:00:00Z,300,10.555
10.575,10.58,10.55,44,10.55,2023-05-11T04:00:00Z,518680,10.560383
10.57,11.17,10.57,190,10.7,2023-05-12T04:00:00Z,38519,10.663818
10.58,10.71,10.58,25,10.71,2023-05-15T04:00:00Z,1989,10.598329
10.6,10.9,10.6,21,10.9,2023-05-16T04:00:00Z,6163,10.607713
10.6056,10.61,10.58,19,10.6,2023-05-17T04:00:00Z,10440,10.595182
10.59,10.5995,10.58,11,10.58,2023-05-18T04:00:00Z,16356,10.590009
10.59,11.37,10.59,13,11.37,2023-05-19T04:00:00Z,1885,10.651492
10.44,10.44,10.44,0,10.44,2023-05-22T04:00:00Z,0,0.0
10.59,11.65,10.59,50,11.1147,2023-05-23T04:00:00Z,8822,10.727378
10.63,11.11,10.59,56,10.9105,2023-05-24T04:00:00Z,37411,10.628491
10.61,11.1,10.59,24,11.1,2023-05-25T04:00:00Z,34772,10.623099
10.61,10.62,10.61,17,10.61,2023-05-26T04:00:00Z,3696,10.613012
10.63,10.825,10.61,61,10.825,2023-05-30T04:00:00Z,15810,10.697167
10.6286,11.04,10.61,70,10.82,2023-05-31T04:00:00Z,18713,10.699573
10.62,10.625,10.62,13,10.62,2023-06-01T04:00:00Z,1765,10.621443
10.62,11.03,10.62,63,11.03,2023-06-02T04:00:00Z,14985,10.707287
10.62,11.03,10.62,111,10.63,2023-06-05T04:00:00Z,20594,10.666819
10.62,10.62,10.62,0,10.62,2023-06-06T04:00:00Z,0,0.0
10.62,10.82,10.61,56,10.61,2023-06-07T04:00:00Z,18317,10.632527
10.62,10.62,10.62,1,10.62,2023-06-08T04:00:00Z,755,10.62
10.62,11.04,10.61,41,10.6816,2023-06-09T04:00:00Z,9699,10.659913
10.6113,11.01,10.61,65,10.81,2023-06-12T04:00:00Z,15784,10.641114
10.62,10.63,10.61,27,10.61,2023-06-13T04:00:00Z,1003498,10.610034
10.625,10.825,10.62,24,10.825,2023-06-14T04:00:00Z,9682,10.630996
10.62,10.63,10.62,46,10.62,2023-06-15T04:00:00Z,4730,10.620349
10.6201,10.63,10.62,11,10.63,2023-06-16T04:00:00Z,1838,10.621445
10.625,10.63,10.615,176,10.62,2023-06-20T04:00:00Z,384173,10.620789
10.63,10.76,10.63,5,10.63,2023-06-21T04:00:00Z,150443,10.630236
10.65,10.65,10.63,11,10.63,2023-06-22T04:00:00Z,4572,10.632667
10.73,11.155,10.62,140,10.64,2023-06-23T04:00:00Z,56058,10.794053
10.65,10.7099,10.65,59,10.7,2023-06-26T04:00:00Z,4196,10.688063
10.65,10.87,10.65,116,10.69,2023-06-27T04:00:00Z,23470,10.717336
10.67,10.7,10.64,25,10.64,2023-06-28T04:00:00Z,24665,10.646934
10.67,11.4359,10.66,117,11.2149,2023-06-29T04:00:00Z,24303,10.804911
10.67,10.67,10.67,0,10.67,2023-06-30T04:00:00Z,0,0.0
10.7,10.7,10.66,13,10.6863,2023-07-03T04:00:00Z,1501,10.687782
10.7,10.7,10.65,8,10.7,2023-07-05T04:00:00Z,992,10.683333
10.675,10.6999,10.67,10,10.6999,2023-07-06T04:00:00Z,1700,10.672347
10.68,10.69,10.67,8,10.67,2023-07-07T04:00:00Z,1875436,10.670003
10.68,10.83,10.67,60,10.75,2023-07-10T04:00:00Z,9560,10.761823
10.69,10.69,10.68,6,10.68,2023-07-11T04:00:00Z,575,10.682
10.69,10.695,10.69,105,10.69,2023-07-12T04:00:00Z,84888,10.690073
10.69,10.69,10.69,6,10.69,2023-07-13T04:00:00Z,597,10.69
10.69,10.69,10.69,0,10.69,2023-07-14T04:00:00Z,0,0.0
10.69,10.75,10.69,6,10.75,2023-07-17T04:00:00Z,388,10.72
10.69,10.69,10.69,8,10.69,2023-07-18T04:00:00Z,534,10.69
10.69,10.69,10.69,0,10.69,2023-07-19T04:00:00Z,0,0.0
10.69,10.69,10.69,7,10.69,2023-07-20T04:00:00Z,2373,10.69
10.69,10.7,10.69,3,10.7,2023-07-21T04:00:00Z,5600,10.698929
10.7,10.7001,10.69,18,10.7,2023-07-24T04:00:00Z,204207,10.699996
10.7,10.7,10.7,10,10.7,2023-07-25T04:00:00Z,324398,10.7
10.7,10.7,10.7,0,10.7,2023-07-26T04:00:00Z,0,0.0
10.7,10.7,10.7,0,10.7,2023-07-27T04:00:00Z,0,0.0
10.7,10.7,10.7,2,10.7,2023-07-28T04:00:00Z,771,10.7
10.7,10.7,10.7,0,10.7,2023-07-31T04:00:00Z,0,0.0
10.7,10.7,10.7,0,10.7,2023-08-01T04:00:00Z,0,0.0
10.7,10.7,10.7,67,10.7,2023-08-02T04:00:00Z,117424,10.7
10.71,10.72,10.7,19,10.7,2023-08-03T04:00:00Z,46775,10.70135
10.72,10.72,10.71,6,10.71,2023-08-04T04:00:00Z,1483,10.713333
10.71,10.72,10.71,34,10.72,2023-08-07T04:00:00Z,7302,10.710143
10.71,10.71,10.71,3,10.71,2023-08-08T04:00:00Z,415,10.71
10.71,10.71,10.71,0,10.71,2023-08-09T04:00:00Z,0,0.0
10.71,10.71,10.71,0,10.71,2023-08-10T04:00:00Z,0,0.0
10.71,10.72,10.71,11,10.71,2023-08-11T04:00:00Z,3029,10.71039
10.72,10.73,10.69,106,10.69,2023-08-14T04:00:00Z,89480,10.712434
10.71,10.71,10.71,3,10.71,2023-08-15T04:00:00Z,106,10.71
10.73,10.73,10.71,35,10.71,2023-08-16T04:00:00Z,5109,10.720208
