c,h,l,n,o,t,v,vw
13.52,16.52,13.52,87705,15.37,2021-10-21T04:00:00Z,10815108,15.373346
13.95,14.65,13.79,23606,13.99,2021-10-22T04:00:00Z,1969910,14.114419
13.63,13.9,13.25,14280,13.76,2021-10-25T04:00:00Z,1357287,13.616715
13.77,14.09,13.4308,8382,13.5,2021-10-26T04:00:00Z,671564,13.727706
13.57,14.15,13.5,6816,13.5502,2021-10-27T04:00:00Z,589425,13.821432
13.25,13.73,13.0,8071,13.58,2021-10-28T04:00:00Z,773903,13.313495
13.5,13.53,13.0201,5235,13.15,2021-10-29T04:00:00Z,544221,13.34268
13.31,13.71,13.01,6740,13.59,2021-11-01T04:00:00Z,607893,13.229786
13.7,13.72,13.08,4754,13.22,2021-11-02T04:00:00Z,480229,13.479465
14.05,14.18,13.54,4664,13.79,2021-11-03T04:00:00Z,425270,13.974849
13.87,14.1924,13.62,4689,14.05,2021-11-04T04:00:00Z,397561,13.878388
13.63,14.07,13.55,4630,13.79,2021-11-05T04:00:00Z,379993,13.785506
13.97,14.04,13.52,4662,13.59,2021-11-08T05:00:00Z,418119,13.83929
13.8,13.9798,13.7001,3717,13.84,2021-11-09T05:00:00Z,247781,13.843449
13.83,13.97,13.5821,3605,13.69,2021-11-10T05:00:00Z,228870,13.839333
13.66,14.01,13.55,4312,13.76,2021-11-11T05:00:00Z,447417,13.78288
14.5,14.8599,13.77,5938,13.77,2021-11-12T05:00:00Z,735000,14.403392
17.57,18.61,15.215,55641,15.23,2021-11-15T05:00:00Z,8728139,17.49378
15.2,17.49,15.03,14427,17.31,2021-11-16T05:00:00Z,1486467,15.983602
16.7,17.25,15.3,12841,15.31,2021-11-17T05:00:00Z,1287525,16.533823
15.11,16.79,14.59,9116,16.5,2021-11-18T05:00:00Z,977110,15.489625
15.75,16.06,15.059,4646,15.08,2021-11-19T05:00:00Z,364451,15.428383
14.67,15.9608,14.1185,8774,15.75,2021-11-22T05:00:00Z,623950,14.71008
13.86,14.59,13.23,7591,14.59,2021-11-23T05:00:00Z,702780,13.792862
15.17,15.3,13.7,8099,13.74,2021-11-24T05:00:00Z,730477,14.523889
15.22,15.47,14.1401,3547,14.43,2021-11-26T05:00:00Z,310189,15.064129
13.83,14.99,13.63,9255,14.88,2021-11-29T05:00:00Z,778165,14.031727
13.5,14.11,13.14,5516,13.79,2021-11-30T05:00:00Z,362381,13.512195
13.22,14.17,13.15,5459,13.56,2021-12-01T05:00:00Z,397638,13.668916
11.07,13.47,10.56,19603,13.22,2021-12-02T05:00:00Z,1905187,11.586574
11.07,11.33,10.61,12352,11.31,2021-12-03T05:00:00Z,1229549,11.012468
10.68,11.2,10.02,10461,11.04,2021-12-06T05:00:00Z,1016695,10.531752
11.43,11.74,10.86,5901,11.21,2021-12-07T05:00:00Z,577667,11.44416
11.05,11.7864,10.89,6437,11.5,2021-12-08T05:00:00Z,569851,11.084306
10.36,11.1699,10.24,5309,11.0,2021-12-09T05:00:00Z,513007,10.530138
10.37,10.59,10.02,4655,10.36,2021-12-10T05:00:00Z,357273,10.238603
9.5,10.6194,9.37,8360,10.58,2021-12-13T05:00:00Z,817571,9.808245
9.34,9.74,9.26,5479,9.51,2021-12-14T05:00:00Z,435369,9.442007
9.88,10.15,9.34,7631,9.89,2021-12-15T05:00:00Z,725597,9.752433
9.26,10.1,9.04,9358,10.0,2021-12-16T05:00:00Z,937625,9.435123
9.14,9.7,8.45,12774,9.2,2021-12-17T05:00:00Z,4764268,9.154781
9.97,10.06,9.01,9078,9.18,2021-12-20T05:00:00Z,1014181,9.749502
10.9,10.955,9.97,7258,9.97,2021-12-21T05:00:00Z,982778,10.6321
10.53,10.85,10.39,4570,10.84,2021-12-22T05:00:00Z,443109,10.600756
11.33,11.4,10.3859,6878,10.5,2021-12-23T05:00:00Z,674993,10.991794
11.23,11.68,10.84,7948,11.39,2021-12-27T05:00:00Z,835706,11.212109
11.42,11.49,10.93,3149,11.16,2021-12-28T05:00:00Z,301364,11.254218
11.65,11.92,11.0,4824,11.44,2021-12-29T05:00:00Z,379272,11.599735
11.45,11.9998,11.41,4335,11.64,2021-12-30T05:00:00Z,363095,11.611762
11.17,11.5,10.95,4170,11.43,2021-12-31T05:00:00Z,371620,11.153982
11.63,11.745,10.64,4016,11.24,2022-01-03T05:00:00Z,364865,11.276174
12.0,12.17,11.51,5961,11.65,2022-01-04T05:00:00Z,687940,11.813267
11.49,12.17,11.35,6308,11.9,2022-01-05T05:00:00Z,711081,11.712983
10.96,11.63,10.71,6258,11.31,2022-01-06T05:00:00Z,531943,11.043853
10.91,11.33,10.86,3447,10.96,2022-01-07T05:00:00Z,278617,11.049059
10.48,10.75,9.9001,5845,10.75,2022-01-10T05:00:00Z,593964,10.326376
10.88,11.03,10.305,4215,10.32,2022-01-11T05:00:00Z,284146,10.739697
10.49,10.9717,10.38,4699,10.89,2022-01-12T05:00:00Z,463505,10.590305
10.24,10.8,10.16,3397,10.49,2022-01-13T05:00:00Z,228782,10.350367
10.33,10.36,9.86,3757,10.06,2022-01-14T05:00:00Z,428810,10.114439
9.96,10.24,9.84,5608,10.16,2022-01-18T05:00:00Z,555235,10.021611
9.71,10.14,9.41,8018,10.0,2022-01-19T05:00:00Z,969828,9.627775
9.82,10.17,9.76,4539,9.8,2022-01-20T05:00:00Z,487720,10.000391
9.6,9.86,9.27,4005,9.63,2022-01-21T05:00:00Z,452073,9.618508
10.56,10.61,9.362,7913,9.42,2022-01-24T05:00:00Z,904703,9.961911
10.27,10.69,9.89,7036,10.4,2022-01-25T05:00:00Z,614695,10.213213
10.09,11.04,9.87,7492,10.32,2022-01-26T05:00:00Z,1411018,10.480207
9.66,10.26,9.18,10725,10.09,2022-01-27T05:00:00Z,1495531,9.586932
10.17,10.17,9.54,6151,9.54,2022-01-28T05:00:00Z,559641,9.936973
10.91,11.05,10.12,5539,10.12,2022-01-31T05:00:00Z,581901,10.773731
11.5,11.53,10.7201,6142,10.97,2022-02-01T05:00:00Z,560644,11.313773
11.32,11.63,11.1,3615,11.37,2022-02-02T05:00:00Z,282245,11.345747
11.35,11.62,11.19,2999,11.19,2022-02-03T05:00:00Z,190729,11.386038
11.72,11.82,11.18,3379,11.29,2022-02-04T05:00:00Z,299552,11.578699
12.4,12.43,11.57,4728,11.7,2022-02-07T05:00:00Z,533479,12.156039
12.68,12.7947,12.26,3877,12.34,2022-02-08T05:00:00Z,367602,12.526467
12.73,13.04,12.48,3731,12.73,2022-02-09T05:00:00Z,251324,12.771414
11.99,12.94,11.95,4696,12.54,2022-02-10T05:00:00Z,378904,12.33274
12.07,12.31,11.87,2540,11.99,2022-02-11T05:00:00Z,187668,12.074973
12.06,12.31,11.821,2532,11.97,2022-02-14T05:00:00Z,148859,12.111571
12.32,12.5,11.93,3181,12.06,2022-02-15T05:00:00Z,234990,12.320583
12.07,12.44,12.01,2508,12.32,2022-02-16T05:00:00Z,141741,12.184955
11.53,12.24,11.47,3330,12.01,2022-02-17T05:00:00Z,279730,11.645628
10.97,11.665,10.93,4500,11.665,2022-02-18T05:00:00Z,308440,11.086193
10.91,11.1,10.7,3652,10.94,2022-02-22T05:00:00Z,224754,10.87311
10.59,11.02,10.42,3561,11.0,2022-02-23T05:00:00Z,197615,10.623884
10.89,10.91,9.75,2787,9.75,2022-02-24T05:00:00Z,174777,10.527462
11.43,11.47,10.67,2833,10.89,2022-02-25T05:00:00Z,208445,11.294362
11.59,11.72,11.06,2374,11.33,2022-02-28T05:00:00Z,155684,11.551955
11.5,11.74,11.35,2067,11.58,2022-03-01T05:00:00Z,92675,11.523284
11.59,11.6554,11.405,1691,11.54,2022-03-02T05:00:00Z,88406,11.547065
11.31,11.97,11.17,2765,11.63,2022-03-03T05:00:00Z,170535,11.412483
10.89,11.27,10.7002,2984,11.25,2022-03-04T05:00:00Z,186063,10.897409
10.36,10.895,10.24,2956,10.86,2022-03-07T05:00:00Z,174222,10.462104
10.11,10.6342,10.06,3052,10.37,2022-03-08T05:00:00Z,198091,10.282646
10.49,10.72,10.28,4262,10.38,2022-03-09T05:00:00Z,301416,10.503363
8.655,10.4693,8.65,9881,10.28,2022-03-10T05:00:00Z,1099160,8.991819
8.55,8.835,8.01,8876,8.8,2022-03-11T05:00:00Z,646366,8.346538
7.56,8.39,7.51,7788,8.34,2022-03-14T04:00:00Z,839906,7.774381
8.19,8.25,7.54,5504,7.54,2022-03-15T04:00:00Z,553726,8.025573
8.77,8.83,8.28,4020,8.3,2022-03-16T04:00:00Z,400896,8.492371
8.91,9.25,8.65,3215,8.8,2022-03-17T04:00:00Z,304806,8.971268
8.8,9.2,8.76,6157,8.82,2022-03-18T04:00:00Z,781760,8.90159
9.18,9.78,8.92,6603,9.69,2022-03-21T04:00:00Z,527934,9.274785
9.44,9.63,9.1,5268,9.45,2022-03-22T04:00:00Z,487116,9.3468
8.93,9.43,8.92,5302,9.36,2022-03-23T04:00:00Z,553167,9.090745
8.75,9.0201,8.62,4370,8.99,2022-03-24T04:00:00Z,347126,8.771033
8.77,8.94,8.55,2692,8.72,2022-03-25T04:00:00Z,287774,8.724013
8.67,8.88,8.45,2906,8.82,2022-03-28T04:00:00Z,262653,8.650935
8.99,9.15,8.74,4018,8.74,2022-03-29T04:00:00Z,274184,9.003138
8.7,9.02,8.63,4323,8.9,2022-03-30T04:00:00Z,303601,8.820719
8.96,9.12,8.64,2877,8.72,2022-03-31T04:00:00Z,265889,8.970028
9.11,9.11,8.8604,2889,8.91,2022-04-01T04:00:00Z,195288,9.02103
9.01,9.3,8.9,3819,9.11,2022-04-04T04:00:00Z,317410,9.063221
8.9,9.0899,8.675,2946,9.04,2022-04-05T04:00:00Z,243082,8.824545
8.74,8.89,8.51,2608,8.75,2022-04-06T04:00:00Z,178075,8.658441
8.88,8.97,8.61,2315,8.7,2022-04-07T04:00:00Z,251458,8.759069
9.21,9.37,8.83,3001,8.88,2022-04-08T04:00:00Z,189366,9.167073
8.95,9.34,8.87,2797,9.17,2022-04-11T04:00:00Z,220323,9.032454
9.01,9.215,8.92,1829,9.07,2022-04-12T04:00:00Z,168667,9.030742
9.28,9.35,9.0111,2003,9.09,2022-04-13T04:00:00Z,202201,9.270722
9.67,9.67,9.19,3212,9.26,2022-04-14T04:00:00Z,275766,9.571782
9.71,9.78,9.43,3551,9.57,2022-04-18T04:00:00Z,311373,9.664274
10.05,10.22,9.645,4502,9.65,2022-04-19T04:00:00Z,235504,10.02139
10.33,10.59,10.07,6145,10.07,2022-04-20T04:00:00Z,410085,10.430741
10.34,10.54,10.22,3460,10.43,2022-04-21T04:00:00Z,183798,10.340904
10.41,10.53,10.23,3377,10.29,2022-04-22T04:00:00Z,181386,10.36049
10.99,11.1,10.27,4642,10.33,2022-04-25T04:00:00Z,299021,10.863504
10.9,10.99,10.61,4968,10.61,2022-04-26T04:00:00Z,252153,10.854082
11.2,11.57,10.69,5944,10.99,2022-04-27T04:00:00Z,303181,11.228136
11.29,11.505,11.03,3805,11.26,2022-04-28T04:00:00Z,171486,11.271669
10.86,11.58,10.75,4205,11.23,2022-04-29T04:00:00Z,281675,11.018316
10.76,11.055,10.615,7290,10.75,2022-05-02T04:00:00Z,539053,10.817544
10.31,10.75,9.7201,6821,10.75,2022-05-03T04:00:00Z,488450,10.167772
10.64,10.71,10.08,4658,10.4,2022-05-04T04:00:00Z,256771,10.458511
10.47,10.67,10.31,2683,10.46,2022-05-05T04:00:00Z,134632,10.436796
10.84,11.02,10.21,3656,10.41,2022-05-06T04:00:00Z,174490,10.741993
10.76,11.04,10.31,4116,10.74,2022-05-09T04:00:00Z,305191,10.750546
11.55,11.64,10.6,5069,10.94,2022-05-10T04:00:00Z,303188,11.241901
9.99,12.2,9.625,8733,11.5,2022-05-11T04:00:00Z,635807,10.893852
9.08,9.895,8.8,13884,9.41,2022-05-12T04:00:00Z,946584,9.168033
10.38,10.64,9.0612,6892,9.17,2022-05-13T04:00:00Z,344842,10.151315
10.25,11.25,10.23,5383,10.38,2022-05-16T04:00:00Z,290405,10.589641
10.61,10.62,10.14,2897,10.41,2022-05-17T04:00:00Z,159028,10.444061
9.67,10.67,9.56,3502,10.455,2022-05-18T04:00:00Z,180260,9.877858
10.07,10.3,9.615,4158,9.615,2022-05-19T04:00:00Z,215894,10.048105
10.47,10.5331,9.97,3841,10.29,2022-05-20T04:00:00Z,211330,10.335821
10.86,11.1,10.45,3952,10.65,2022-05-23T04:00:00Z,199110,10.841942
11.04,11.315,10.6997,4100,10.71,2022-05-24T04:00:00Z,231272,11.074189
11.48,11.57,10.76,4291,10.85,2022-05-25T04:00:00Z,224580,11.335043
12.07,12.18,11.1462,4376,11.38,2022-05-26T04:00:00Z,225699,11.917957
12.55,12.58,12.06,3664,12.1,2022-05-27T04:00:00Z,211035,12.362801
12.26,12.55,11.601,3463,12.42,2022-05-31T04:00:00Z,245624,12.209107
12.16,12.43,12.03,3309,12.34,2022-06-01T04:00:00Z,148397,12.17556
12.79,12.83,11.9072,3827,12.11,2022-06-02T04:00:00Z,167605,12.591331
12.91,13.14,12.4327,4853,12.55,2022-06-03T04:00:00Z,211114,12.916131
12.8,13.62,12.72,6621,13.06,2022-06-06T04:00:00Z,333134,13.186196
12.25,12.95,11.83,5778,12.67,2022-06-07T04:00:00Z,304935,12.259074
12.7,12.77,11.8312,4736,12.12,2022-06-08T04:00:00Z,396896,12.653089
11.57,12.96,11.52,5528,12.59,2022-06-09T04:00:00Z,336300,12.049991
11.4,11.505,11.14,2913,11.45,2022-06-10T04:00:00Z,134539,11.357575
10.39,11.22,10.23,4536,11.01,2022-06-13T04:00:00Z,214491,10.548122
10.69,10.86,10.31,3063,10.38,2022-06-14T04:00:00Z,143471,10.60768
11.43,11.62,10.74,4409,10.74,2022-06-15T04:00:00Z,352952,11.362077
10.81,11.1,10.52,3412,11.1,2022-06-16T04:00:00Z,317891,10.788956
10.63,11.25,10.405,6389,10.58,2022-06-17T04:00:00Z,560355,10.648729
10.46,10.95,10.37,4643,10.73,2022-06-21T04:00:00Z,386418,10.498355
10.22,10.76,10.17,3854,10.3,2022-06-22T04:00:00Z,322278,10.270845
10.26,10.6,10.14,4760,10.29,2022-06-23T04:00:00Z,340919,10.289456
10.59,11.06,10.08,8340,10.4,2022-06-24T04:00:00Z,3431126,10.595454
10.43,10.84,10.38,2725,10.65,2022-06-27T04:00:00Z,149486,10.513771
9.93,10.605,9.883,2337,10.47,2022-06-28T04:00:00Z,138361,10.05013
9.6,10.63,9.56,2479,9.91,2022-06-29T04:00:00Z,179073,9.693002
9.79,9.79,9.29,1958,9.5,2022-06-30T04:00:00Z,165535,9.692335
10.0,10.25,9.67,2701,9.67,2022-07-01T04:00:00Z,139590,9.964726
10.24,10.46,9.6496,3901,9.71,2022-07-05T04:00:00Z,589137,10.115255
9.93,10.46,9.875,1982,10.22,2022-07-06T04:00:00Z,115508,10.021224
9.9,10.22,9.745,2984,10.0,2022-07-07T04:00:00Z,344254,9.926385
11.03,12.1,10.44,15468,10.77,2022-07-08T04:00:00Z,1297082,11.435659
11.74,11.99,10.9139,8348,11.0,2022-07-11T04:00:00Z,461569,11.724916
11.8,11.82,11.15,4264,11.68,2022-07-12T04:00:00Z,212267,11.64846
11.83,12.15,11.4,4328,11.5,2022-07-13T04:00:00Z,458732,11.910652
11.28,11.75,10.36,4879,11.75,2022-07-14T04:00:00Z,351229,11.057414
11.71,11.76,10.9654,3896,11.38,2022-07-15T04:00:00Z,213864,11.551261
11.08,11.9,11.06,3161,11.82,2022-07-18T04:00:00Z,176813,11.331627
11.63,11.81,11.19,2572,11.19,2022-07-19T04:00:00Z,167917,11.586504
11.79,11.91,11.61,1735,11.61,2022-07-20T04:00:00Z,128812,11.779771
11.99,12.62,11.82,3099,11.85,2022-07-21T04:00:00Z,245278,12.047051
11.87,12.075,11.49,4138,11.98,2022-07-22T04:00:00Z,260804,11.838466
12.0,12.07,11.6606,3494,11.88,2022-07-25T04:00:00Z,167375,11.95196
11.81,12.04,11.61,2380,12.04,2022-07-26T04:00:00Z,123352,11.794585
11.76,11.91,11.53,3325,11.91,2022-07-27T04:00:00Z,193925,11.717043
11.75,12.02,11.65,2851,11.7,2022-07-28T04:00:00Z,168663,11.786053
12.05,12.388,11.65,8769,11.92,2022-07-29T04:00:00Z,497209,11.965865
12.27,12.75,11.73,4567,11.89,2022-08-01T04:00:00Z,378239,12.394774
12.37,12.44,11.65,3833,12.26,2022-08-02T04:00:00Z,241785,12.145686
12.71,12.985,12.21,4121,12.41,2022-08-03T04:00:00Z,199306,12.721007
12.9,12.93,12.55,2274,12.75,2022-08-04T04:00:00Z,97180,12.765069
13.18,13.22,12.5001,3606,12.69,2022-08-05T04:00:00Z,185549,13.032787
12.59,13.165,12.53,3904,13.16,2022-08-08T04:00:00Z,201447,12.840061
11.73,12.705,11.56,3435,12.66,2022-08-09T04:00:00Z,163284,11.978138
12.32,12.75,11.8101,4781,12.14,2022-08-10T04:00:00Z,527065,12.396914
12.84,13.08,12.4,7169,12.64,2022-08-11T04:00:00Z,505681,12.752111
13.12,13.14,12.17,4766,12.67,2022-08-12T04:00:00Z,479592,12.778755
15.36,15.42,12.98,14263,13.0,2022-08-15T04:00:00Z,1125155,14.5575
15.73,16.57,14.78,9939,15.49,2022-08-16T04:00:00Z,764671,15.620851
15.29,16.02,15.2,6475,15.4,2022-08-17T04:00:00Z,444859,15.630893
15.04,15.29,14.1901,6575,15.07,2022-08-18T04:00:00Z,525481,14.667535
15.23,15.89,14.72,5189,14.74,2022-08-19T04:00:00Z,486061,15.35479
15.5,15.77,14.95,4601,15.12,2022-08-22T04:00:00Z,226509,15.46984
15.31,16.1439,15.1,3766,15.49,2022-08-23T04:00:00Z,327795,15.680611
15.66,15.92,15.16,3105,15.3,2022-08-24T04:00:00Z,204885,15.682603
15.88,16.14,15.255,4243,15.79,2022-08-25T04:00:00Z,396632,15.818109
14.94,16.08,14.62,4929,15.84,2022-08-26T04:00:00Z,498343,15.234056
15.09,15.24,14.23,4587,14.59,2022-08-29T04:00:00Z,237305,14.996894
14.84,15.2,14.61,2580,15.08,2022-08-30T04:00:00Z,159998,14.813877
14.99,15.2338,14.52,2833,14.86,2022-08-31T04:00:00Z,422833,14.976944
14.4,14.93,13.91,3794,14.75,2022-09-01T04:00:00Z,214730,14.250573
13.88,14.7399,13.77,3269,14.67,2022-09-02T04:00:00Z,214699,14.158883
14.31,14.59,13.52,4597,13.88,2022-09-06T04:00:00Z,266688,14.27372
15.37,15.38,14.24,4825,14.24,2022-09-07T04:00:00Z,428097,14.997691
15.93,15.99,15.031,5646,15.43,2022-09-08T04:00:00Z,421622,15.548375
15.82,16.08,15.43,5635,15.88,2022-09-09T04:00:00Z,419693,15.862029
15.27,15.89,15.22,5371,15.85,2022-09-12T04:00:00Z,330841,15.47774
13.28,14.99,12.93,9881,14.81,2022-09-13T04:00:00Z,719224,13.678414
13.76,13.89,13.2,4066,13.21,2022-09-14T04:00:00Z,246549,13.648617
13.28,14.07,13.2,3505,13.65,2022-09-15T04:00:00Z,188179,13.466019
13.26,13.34,12.7001,5122,13.05,2022-09-16T04:00:00Z,1325058,13.237189
12.98,13.14,12.74,2770,13.02,2022-09-19T04:00:00Z,178802,12.960342
12.91,13.115,12.7302,2175,12.93,2022-09-20T04:00:00Z,109206,12.939759
12.74,13.24,12.6,2623,12.98,2022-09-21T04:00:00Z,142900,12.85389
12.56,12.76,12.48,2535,12.76,2022-09-22T04:00:00Z,139309,12.563624
12.26,12.4,11.97,3986,12.27,2022-09-23T04:00:00Z,201848,12.182954
12.58,12.78,12.29,3626,12.29,2022-09-26T04:00:00Z,135642,12.5951
12.41,13.07,12.03,4710,12.81,2022-09-27T04:00:00Z,218923,12.59848
12.69,12.9,12.31,3495,12.41,2022-09-28T04:00:00Z,220035,12.700887
11.54,12.47,11.195,4797,12.47,2022-09-29T04:00:00Z,339227,11.585111
11.39,11.96,11.32,4354,11.5,2022-09-30T04:00:00Z,589839,11.5969
11.73,11.91,11.2101,4357,11.39,2022-10-03T04:00:00Z,292507,11.664703
12.37,12.53,12.05,2446,12.05,2022-10-04T04:00:00Z,178066,12.364239
12.2,12.26,11.83,2306,12.05,2022-10-05T04:00:00Z,125323,12.120159
12.32,12.61,12.15,1582,12.25,2022-10-06T04:00:00Z,117098,12.330329
