c,h,l,n,o,t,v,vw
9.78,9.795,9.71,62,9.71,2021-11-17T05:00:00Z,404148,9.780079
9.78,10.0343,9.73,103,9.78,2021-11-18T05:00:00Z,313832,9.78025
9.79,9.8,9.73,73,9.73,2021-11-19T05:00:00Z,57895,9.78837
9.79,9.79,9.79,87,9.79,2021-11-22T05:00:00Z,27363,9.78998
9.77,9.79,9.77,108,9.79,2021-11-23T05:00:00Z,48788,9.779414
9.7812,9.7812,9.77,104,9.77,2021-11-24T05:00:00Z,50048,9.77006
9.7812,9.7812,9.7812,0,9.7812,2021-11-26T05:00:00Z,0,0.0
9.77,10.5,9.77,21,10.5,2021-11-29T05:00:00Z,4236,10.139291
9.8,9.85,9.8,7,9.85,2021-11-30T05:00:00Z,1036,9.837936
9.78,9.78,9.755,22,9.78,2021-12-01T05:00:00Z,57528,9.778798
9.78,9.78,9.78,0,9.78,2021-12-02T05:00:00Z,0,0.0
9.9,9.9,9.75,12,9.75,2021-12-03T05:00:00Z,1631,9.8897
9.9,9.9,9.9,0,9.9,2021-12-06T05:00:00Z,0,0.0
9.89,9.89,9.87,5,9.87,2021-12-07T05:00:00Z,330,9.903845
9.8,9.8,9.78,26,9.78,2021-12-08T05:00:00Z,2678,9.79698
9.79,9.79,9.75,596,9.78,2021-12-09T05:00:00Z,722093,9.771081
9.79,9.79,9.79,0,9.79,2021-12-10T05:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2021-12-13T05:00:00Z,0,0.0
9.79,9.79,9.77,7,9.77,2021-12-14T05:00:00Z,1051,9.778316
9.79,9.79,9.79,0,9.79,2021-12-15T05:00:00Z,0,0.0
9.76,9.77,9.755,64,9.755,2021-12-16T05:00:00Z,128098,9.769361
9.77,9.77,9.76,39,9.76,2021-12-17T05:00:00Z,101708,9.760167
9.78,9.78,9.76,3,9.76,2021-12-20T05:00:00Z,500,9.768
9.78,9.78,9.77,15,9.78,2021-12-21T05:00:00Z,125784,9.779992
9.78,9.78,9.78,0,9.78,2021-12-22T05:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2021-12-23T05:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2021-12-27T05:00:00Z,0,0.0
9.7759,9.7759,9.77,3,9.77,2021-12-28T05:00:00Z,300,9.771967
9.7759,9.7759,9.7759,0,9.7759,2021-12-29T05:00:00Z,0,0.0
9.7759,9.7759,9.7759,0,9.7759,2021-12-30T05:00:00Z,0,0.0
9.7759,9.7759,9.7759,0,9.7759,2021-12-31T05:00:00Z,0,0.0
9.76,9.76,9.76,13,9.76,2022-01-03T05:00:00Z,1131,9.760172
9.76,9.76,9.76,0,9.76,2022-01-04T05:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-01-05T05:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-01-06T05:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-01-07T05:00:00Z,0,0.0
9.78,9.78,9.78,2,9.78,2022-01-10T05:00:00Z,121044,9.78
9.78,9.78,9.78,0,9.78,2022-01-11T05:00:00Z,0,0.0
9.78,9.78,9.78,4,9.78,2022-01-12T05:00:00Z,158,9.780498
9.78,9.78,9.78,0,9.78,2022-01-13T05:00:00Z,0,0.0
9.76,9.76,9.755,11,9.755,2022-01-14T05:00:00Z,19103,9.759843
9.76,9.76,9.76,0,9.76,2022-01-18T05:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-01-19T05:00:00Z,0,0.0
9.77,9.77,9.77,2,9.77,2022-01-20T05:00:00Z,202,9.77
9.75,9.755,9.75,6,9.75,2022-01-21T05:00:00Z,1469,9.749871
9.75,9.75,9.75,4,9.75,2022-01-24T05:00:00Z,400,9.75
9.73,9.73,9.73,13,9.73,2022-01-25T05:00:00Z,1639,9.730201
9.73,9.73,9.73,0,9.73,2022-01-26T05:00:00Z,0,0.0
9.73,9.73,9.72,17,9.72,2022-01-27T05:00:00Z,85200,9.720023
9.7,9.74,9.7,466,9.73,2022-01-28T05:00:00Z,82574,9.729049
9.7,9.7,9.7,0,9.7,2022-01-31T05:00:00Z,0,0.0
9.7,9.7,9.7,0,9.7,2022-02-01T05:00:00Z,0,0.0
10.06,10.06,9.8,94,9.8,2022-02-02T05:00:00Z,19232,9.91166
10.06,10.06,10.06,0,10.06,2022-02-03T05:00:00Z,0,0.0
10.06,10.06,10.06,0,10.06,2022-02-04T05:00:00Z,0,0.0
10.0,10.0,10.0,2,10.0,2022-02-07T05:00:00Z,400,10.0
9.79,9.79,9.79,2,9.79,2022-02-08T05:00:00Z,101,9.789901
9.77,9.77,9.765,14,9.765,2022-02-09T05:00:00Z,384,9.766979
9.77,9.77,9.77,0,9.77,2022-02-10T05:00:00Z,0,0.0
9.85,10.08,9.82,21,10.08,2022-02-11T05:00:00Z,6249,9.91353
9.86,9.86,9.86,4,9.86,2022-02-14T05:00:00Z,222,9.856816
9.86,9.86,9.86,0,9.86,2022-02-15T05:00:00Z,0,0.0
9.86,9.86,9.86,0,9.86,2022-02-16T05:00:00Z,0,0.0
9.76,9.84,9.75,13,9.84,2022-02-17T05:00:00Z,2022,9.79454
9.76,9.76,9.76,0,9.76,2022-02-18T05:00:00Z,0,0.0
9.78,9.78,9.78,5,9.78,2022-02-22T05:00:00Z,6607,9.780263
9.825,9.825,9.825,1,9.825,2022-02-23T05:00:00Z,100,9.825
9.825,9.825,9.825,0,9.825,2022-02-24T05:00:00Z,0,0.0
9.77,9.77,9.77,1,9.77,2022-02-25T05:00:00Z,130,9.77
9.81,9.81,9.76,4,9.76,2022-02-28T05:00:00Z,336,9.791562
9.78,9.92,9.77,5,9.92,2022-03-01T05:00:00Z,472,9.836102
9.8,9.8,9.79,25,9.79,2022-03-02T05:00:00Z,4781,9.799283
9.8,9.8,9.8,0,9.8,2022-03-03T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-04T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-07T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-08T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-09T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-10T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-11T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-14T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-15T04:00:00Z,0,0.0
9.8,9.8,9.8,6,9.8,2022-03-16T04:00:00Z,1200,9.8
9.8,9.8,9.8,0,9.8,2022-03-17T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-03-18T04:00:00Z,0,0.0
9.82,9.82,9.82,1,9.82,2022-03-21T04:00:00Z,100,9.82
9.82,9.82,9.82,0,9.82,2022-03-22T04:00:00Z,0,0.0
9.82,9.82,9.82,0,9.82,2022-03-23T04:00:00Z,0,0.0
9.83,9.83,9.82,69,9.82,2022-03-24T04:00:00Z,11242,9.825958
9.83,9.83,9.83,0,9.83,2022-03-25T04:00:00Z,0,0.0
9.87,9.87,9.87,4,9.87,2022-03-28T04:00:00Z,526,9.868517
9.81,9.81,9.81,8,9.81,2022-03-29T04:00:00Z,3400,9.81
9.81,9.81,9.81,0,9.81,2022-03-30T04:00:00Z,0,0.0
9.84,9.86,9.84,19,9.85,2022-03-31T04:00:00Z,4778,9.857732
9.84,9.84,9.84,0,9.84,2022-04-01T04:00:00Z,0,0.0
9.84,9.84,9.84,0,9.84,2022-04-04T04:00:00Z,0,0.0
9.84,9.84,9.84,0,9.84,2022-04-05T04:00:00Z,0,0.0
9.83,9.83,9.83,1,9.83,2022-04-06T04:00:00Z,200,9.83
9.87,9.87,9.87,8,9.87,2022-04-07T04:00:00Z,6399,9.869531
9.87,9.87,9.87,0,9.87,2022-04-08T04:00:00Z,0,0.0
9.87,9.87,9.87,0,9.87,2022-04-11T04:00:00Z,0,0.0
9.87,9.87,9.87,0,9.87,2022-04-12T04:00:00Z,0,0.0
9.87,9.87,9.87,3,9.87,2022-04-13T04:00:00Z,175000,9.87
9.88,9.88,9.87,7,9.87,2022-04-14T04:00:00Z,15903,9.873712
9.87,9.87,9.87,3,9.87,2022-04-18T04:00:00Z,240065,9.87
9.87,9.87,9.87,0,9.87,2022-04-19T04:00:00Z,0,0.0
9.89,9.89,9.89,5,9.89,2022-04-20T04:00:00Z,1400,9.89
9.89,9.89,9.87,30,9.89,2022-04-21T04:00:00Z,23700,9.887595
9.89,9.89,9.89,0,9.89,2022-04-22T04:00:00Z,0,0.0
9.91,9.91,9.89,11,9.89,2022-04-25T04:00:00Z,13099,9.891604
9.92,9.92,9.92,2,9.92,2022-04-26T04:00:00Z,239,9.92
9.89,9.91,9.89,24,9.89,2022-04-27T04:00:00Z,63090,9.891585
9.92,9.92,9.89,2,9.89,2022-04-28T04:00:00Z,300,9.9
9.89,9.91,9.89,5,9.91,2022-04-29T04:00:00Z,53014,9.890071
9.89,9.89,9.89,0,9.89,2022-05-02T04:00:00Z,0,0.0
9.89,9.89,9.89,1,9.89,2022-05-03T04:00:00Z,730352,9.89
9.87,9.87,9.87,3,9.87,2022-05-04T04:00:00Z,511,9.870241
9.88,9.9,9.88,12,9.89,2022-05-05T04:00:00Z,120200,9.880899
9.87,9.87,9.87,2,9.87,2022-05-06T04:00:00Z,150001,9.87
9.85,9.87,9.85,18,9.87,2022-05-09T04:00:00Z,45753,9.854498
9.85,9.85,9.85,0,9.85,2022-05-10T04:00:00Z,0,0.0
9.87,9.87,9.85,4,9.85,2022-05-11T04:00:00Z,6350,9.851732
9.87,9.87,9.87,0,9.87,2022-05-12T04:00:00Z,0,0.0
9.85,9.8899,9.85,5,9.8899,2022-05-13T04:00:00Z,615,9.873707
9.9,9.9,9.9,7,9.9,2022-05-16T04:00:00Z,1000,9.9
9.9,9.9,9.9,0,9.9,2022-05-17T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2022-05-18T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2022-05-19T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2022-05-20T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2022-05-23T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2022-05-24T04:00:00Z,0,0.0
9.82,9.82,9.82,1,9.82,2022-05-25T04:00:00Z,139,9.82
9.82,9.82,9.81,17,9.82,2022-05-26T04:00:00Z,50529,9.814217
9.82,9.82,9.82,0,9.82,2022-05-27T04:00:00Z,0,0.0
9.86,9.86,9.82,12,9.82,2022-05-31T04:00:00Z,64908,9.862498
9.9,9.91,9.88,134,9.91,2022-06-01T04:00:00Z,49837,9.895498
9.93,9.93,9.9,334,9.91,2022-06-02T04:00:00Z,242389,9.918117
9.93,9.93,9.93,0,9.93,2022-06-03T04:00:00Z,0,0.0
9.93,9.93,9.93,0,9.93,2022-06-06T04:00:00Z,0,0.0
9.92,9.93,9.92,6,9.92,2022-06-07T04:00:00Z,401,9.924925
9.91,9.93,9.91,63,9.93,2022-06-08T04:00:00Z,6164,9.918115
9.91,9.91,9.91,0,9.91,2022-06-09T04:00:00Z,0,0.0
9.9,9.91,9.88,13,9.91,2022-06-10T04:00:00Z,4355,9.899388
9.87,9.87,9.87,6,9.87,2022-06-13T04:00:00Z,179,9.871341
9.86,9.885,9.86,22,9.885,2022-06-14T04:00:00Z,15018,9.875498
9.8625,9.8625,9.86,7,9.86,2022-06-15T04:00:00Z,1014,9.861403
9.861,9.865,9.861,3,9.865,2022-06-16T04:00:00Z,1420,9.862394
9.861,9.861,9.861,0,9.861,2022-06-17T04:00:00Z,0,0.0
9.94,9.94,9.94,2,9.94,2022-06-21T04:00:00Z,104,9.94
9.94,9.94,9.94,0,9.94,2022-06-22T04:00:00Z,0,0.0
9.8767,9.92,9.86,12,9.92,2022-06-23T04:00:00Z,2900,9.882486
9.875,9.875,9.875,2,9.875,2022-06-24T04:00:00Z,101,9.875148
9.875,9.875,9.875,0,9.875,2022-06-27T04:00:00Z,0,0.0
9.93,9.93,9.93,3,9.93,2022-06-28T04:00:00Z,307,9.929837
9.85,9.86,9.8,67,9.86,2022-06-29T04:00:00Z,25700,9.830811
9.85,9.85,9.85,0,9.85,2022-06-30T04:00:00Z,0,0.0
9.85,9.87,9.84,17,9.87,2022-07-01T04:00:00Z,26299,9.851534
9.85,9.85,9.85,0,9.85,2022-07-05T04:00:00Z,0,0.0
9.88,9.88,9.87,15,9.875,2022-07-06T04:00:00Z,163108,9.875736
9.88,9.88,9.88,0,9.88,2022-07-07T04:00:00Z,0,0.0
9.88,9.88,9.88,0,9.88,2022-07-08T04:00:00Z,0,0.0
9.88,9.88,9.88,0,9.88,2022-07-11T04:00:00Z,0,0.0
9.88,9.88,9.88,0,9.88,2022-07-12T04:00:00Z,0,0.0
9.89,9.89,9.89,6,9.89,2022-07-13T04:00:00Z,141,9.88903
9.89,9.89,9.89,0,9.89,2022-07-14T04:00:00Z,0,0.0
9.8864,9.888,9.8864,3,9.888,2022-07-15T04:00:00Z,400,9.8856
9.89,9.9,9.89,3,9.9,2022-07-18T04:00:00Z,1200,9.890833
9.89,9.89,9.89,0,9.89,2022-07-19T04:00:00Z,0,0.0
9.89,9.89,9.89,4,9.89,2022-07-20T04:00:00Z,65203,9.889984
9.88,9.89,9.88,18,9.89,2022-07-21T04:00:00Z,12203,9.889651
9.89,9.89,9.89,15,9.89,2022-07-22T04:00:00Z,304,9.900329
9.89,9.89,9.89,3,9.89,2022-07-25T04:00:00Z,998,9.89015
9.92,9.92,9.89,3,9.89,2022-07-26T04:00:00Z,831,9.893634
9.92,9.92,9.92,0,9.92,2022-07-27T04:00:00Z,0,0.0
9.92,9.92,9.91,16,9.91,2022-07-28T04:00:00Z,1801,9.912776
9.93,9.93,9.92,8,9.92,2022-07-29T04:00:00Z,1200,9.920833
9.93,9.93,9.93,0,9.93,2022-08-01T04:00:00Z,0,0.0
9.93,9.93,9.93,0,9.93,2022-08-02T04:00:00Z,0,0.0
9.93,9.93,9.93,0,9.93,2022-08-03T04:00:00Z,0,0.0
9.93,9.93,9.93,0,9.93,2022-08-04T04:00:00Z,0,0.0
9.91,9.915,9.91,7,9.915,2022-08-05T04:00:00Z,1160,9.911538
9.92,9.92,9.92,5,9.92,2022-08-08T04:00:00Z,305,9.920033
9.92,9.92,9.92,5,9.92,2022-08-09T04:00:00Z,698,9.919993
9.89,9.9,9.89,17,9.9,2022-08-10T04:00:00Z,12091,9.898628
9.9,9.9,9.89,5,9.89,2022-08-11T04:00:00Z,96643,9.899717
9.9,9.9,9.9,0,9.9,2022-08-12T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2022-08-15T04:00:00Z,0,0.0
9.91,9.91,9.91,2,9.91,2022-08-16T04:00:00Z,200,9.91
9.91,9.92,9.905,242,9.92,2022-08-17T04:00:00Z,246848,9.909977
9.92,9.92,9.92,5,9.92,2022-08-18T04:00:00Z,1037,9.920048
9.92,9.95,9.92,33,9.95,2022-08-19T04:00:00Z,4900,9.920612
9.92,9.92,9.91,19,9.91,2022-08-22T04:00:00Z,218983,9.910868
9.92,9.92,9.92,3,9.92,2022-08-23T04:00:00Z,126,9.923651
9.93,9.93,9.91,75,9.915,2022-08-24T04:00:00Z,42716,9.913121
10.0,10.0,10.0,1,10.0,2022-08-25T04:00:00Z,100,10.0
9.94,9.95,9.935,19,9.95,2022-08-26T04:00:00Z,1510,9.94696
9.94,9.94,9.94,0,9.94,2022-08-29T04:00:00Z,0,0.0
9.94,9.94,9.94,0,9.94,2022-08-30T04:00:00Z,0,0.0
9.94,9.95,9.9399,19,9.94,2022-08-31T04:00:00Z,7823,9.943881
9.94,9.94,9.94,0,9.94,2022-09-01T04:00:00Z,0,0.0
9.94,9.94,9.94,0,9.94,2022-09-02T04:00:00Z,0,0.0
9.94,9.94,9.94,0,9.94,2022-09-06T04:00:00Z,0,0.0
9.94,9.95,9.94,33,9.95,2022-09-07T04:00:00Z,99323,9.940039
9.94,9.94,9.94,3,9.94,2022-09-08T04:00:00Z,705,9.940014
9.95,9.95,9.95,43,9.95,2022-09-09T04:00:00Z,43226,9.949984
9.95,9.95,9.95,0,9.95,2022-09-12T04:00:00Z,0,0.0
9.95,9.95,9.95,0,9.95,2022-09-13T04:00:00Z,0,0.0
9.95,9.95,9.95,0,9.95,2022-09-14T04:00:00Z,0,0.0
9.9501,9.96,9.9501,10,9.96,2022-09-15T04:00:00Z,1901,9.958443
9.97,9.97,9.97,3,9.97,2022-09-16T04:00:00Z,300,9.97
9.97,9.97,9.97,4,9.97,2022-09-19T04:00:00Z,1032,9.9697
9.97,9.97,9.95,121,9.97,2022-09-20T04:00:00Z,259656,9.9698
9.97,9.97,9.97,0,9.97,2022-09-21T04:00:00Z,0,0.0
9.97,9.97,9.97,0,9.97,2022-09-22T04:00:00Z,0,0.0
9.97,9.97,9.97,0,9.97,2022-09-23T04:00:00Z,0,0.0
9.97,9.97,9.97,0,9.97,2022-09-26T04:00:00Z,0,0.0
9.96,9.96,9.96,3,9.96,2022-09-27T04:00:00Z,171,9.960409
9.985,10.45,9.985,8,10.45,2022-09-28T04:00:00Z,1200,10.2175
9.985,9.985,9.985,0,9.985,2022-09-29T04:00:00Z,0,0.0
10.0,10.0,9.99,27,9.99,2022-09-30T04:00:00Z,4349,9.995514
10.0,10.0,10.0,0,10.0,2022-10-03T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2022-10-04T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2022-10-05T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2022-10-06T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2022-10-07T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2022-10-10T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2022-10-11T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2022-10-12T04:00:00Z,0,0.0
10.01,10.01,10.01,9,10.01,2022-10-13T04:00:00Z,810,10.010062
10.01,10.01,10.01,0,10.01,2022-10-14T04:00:00Z,0,0.0
10.01,10.01,10.01,0,10.01,2022-10-17T04:00:00Z,0,0.0
10.02,10.02,10.02,10,10.02,2022-10-18T04:00:00Z,2000,10.02
10.02,10.02,10.02,0,10.02,2022-10-19T04:00:00Z,0,0.0
10.02,10.02,10.02,0,10.02,2022-10-20T04:00:00Z,0,0.0
10.02,10.02,10.02,0,10.02,2022-10-21T04:00:00Z,0,0.0
10.02,10.02,10.02,0,10.02,2022-10-24T04:00:00Z,0,0.0
10.03,10.03,10.03,9,10.03,2022-10-25T04:00:00Z,900,10.03
10.03,10.03,10.03,0,10.03,2022-10-26T04:00:00Z,0,0.0
10.03,10.03,10.03,0,10.03,2022-10-27T04:00:00Z,0,0.0
10.03,10.03,10.03,0,10.03,2022-10-28T04:00:00Z,0,0.0
10.03,10.03,10.03,0,10.03,2022-10-31T04:00:00Z,0,0.0
10.03,10.03,10.03,0,10.03,2022-11-01T04:00:00Z,0,0.0
10.05,10.065,10.05,11,10.05,2022-11-02T04:00:00Z,314462,10.050714
10.05,10.05,10.05,0,10.05,2022-11-03T04:00:00Z,0,0.0
10.06,10.06,10.06,2,10.06,2022-11-04T04:00:00Z,300000,10.06
10.06,10.06,10.06,0,10.06,2022-11-07T05:00:00Z,0,0.0
10.075,10.08,10.07,12,10.08,2022-11-08T05:00:00Z,7673,10.070681
10.09,10.09,10.08,97,10.08,2022-11-09T05:00:00Z,20295,10.08946
10.09,10.09,10.09,77,10.09,2022-11-10T05:00:00Z,20003,10.09
10.09,10.09,10.09,0,10.09,2022-11-11T05:00:00Z,0,0.0
10.09,10.09,10.09,3,10.09,2022-11-14T05:00:00Z,205,10.09
10.09,10.09,10.09,2,10.09,2022-11-15T05:00:00Z,200,10.09
10.1,10.1,10.1,3,10.1,2022-11-16T05:00:00Z,221,10.095475
10.09,10.09,10.09,2,10.09,2022-11-17T05:00:00Z,200,10.09
10.09,10.09,10.09,0,10.09,2022-11-18T05:00:00Z,0,0.0
10.1,10.1,10.1,13,10.1,2022-11-21T05:00:00Z,1300,10.1
10.12,10.12,10.1,19,10.1001,2022-11-22T05:00:00Z,11364,10.110268
10.13,10.13,10.13,2,10.13,2022-11-23T05:00:00Z,102,10.139608
10.13,10.13,10.11,18,10.13,2022-11-25T05:00:00Z,14066,10.125711
10.105,10.11,10.1,149,10.1,2022-11-28T05:00:00Z,94916,10.100064
10.105,10.105,10.105,0,10.105,2022-11-29T05:00:00Z,0,0.0
10.105,10.105,10.105,0,10.105,2022-11-30T05:00:00Z,0,0.0
10.1299,10.13,10.1299,16,10.13,2022-12-01T05:00:00Z,1104,10.129955
10.13,10.13,10.1299,2,10.1299,2022-12-02T05:00:00Z,1000,10.12995
10.13,10.13,10.1299,5,10.13,2022-12-05T05:00:00Z,1872,10.129984
10.15,10.15,10.15,2,10.15,2022-12-06T05:00:00Z,200,10.15
10.15,10.15,10.15,0,10.15,2022-12-07T05:00:00Z,0,0.0
10.15,10.15,10.13,30,10.13,2022-12-08T05:00:00Z,49832,10.133803
10.13,10.13,10.13,22,10.13,2022-12-09T05:00:00Z,200010,10.130001
10.13,10.13,10.13,0,10.13,2022-12-12T05:00:00Z,0,0.0
10.14,10.1675,10.14,8,10.1675,2022-12-13T05:00:00Z,685,10.153064
10.15,10.15,10.11,262,10.13,2022-12-14T05:00:00Z,182195,10.123365
10.1383,10.14,10.1383,5,10.14,2022-12-15T05:00:00Z,761,10.138252
10.13,10.135,10.13,3,10.135,2022-12-16T05:00:00Z,5302,10.134338
10.14,10.14,10.14,2,10.14,2022-12-19T05:00:00Z,198,10.144949
10.14,10.14,10.14,9,10.14,2022-12-20T05:00:00Z,4811,10.140002
10.1401,10.1401,10.14,4,10.14,2022-12-21T05:00:00Z,1248,10.14014
10.14,10.14,10.14,3,10.14,2022-12-22T05:00:00Z,4717,10.140038
10.15,10.16,10.15,2,10.16,2022-12-23T05:00:00Z,200,10.155
10.14,10.17,10.14,11,10.17,2022-12-27T05:00:00Z,11578,10.15981
10.18,10.18,10.17,16,10.17,2022-12-28T05:00:00Z,5958,10.179847
10.19,10.2,10.19,57,10.19,2022-12-29T05:00:00Z,100500,10.19001
10.19,10.19,10.19,22,10.19,2022-12-30T05:00:00Z,25269,10.189991
10.2,10.22,10.19,268,10.19,2023-01-03T05:00:00Z,54214,10.204755
10.205,10.21,10.205,17,10.21,2023-01-04T05:00:00Z,5113,10.209844
10.2199,10.2199,10.2199,2,10.2199,2023-01-05T05:00:00Z,400,10.2199
10.18,10.18,10.16,39,10.16,2023-01-06T05:00:00Z,3768,10.1606
10.24,10.24,10.18,12,10.18,2023-01-09T05:00:00Z,5065,10.18461
10.23,10.23,10.23,2,10.23,2023-01-10T05:00:00Z,188,10.23
10.225,10.235,10.22,86,10.22,2023-01-11T05:00:00Z,58051,10.224623
10.234,10.24,10.22,44,10.225,2023-01-12T05:00:00Z,173440,10.193254
10.24,10.24,10.23,198,10.24,2023-01-13T05:00:00Z,55152,10.233231
10.26,10.37,10.25,46,10.37,2023-01-17T05:00:00Z,28070,10.265266
10.26,10.3,10.21,63,10.21,2023-01-18T05:00:00Z,52402,10.280647
10.255,10.255,10.22,66,10.22,2023-01-19T05:00:00Z,398061,10.247672
9.53,9.9,8.9,142,9.9,2023-01-20T05:00:00Z,16391,9.421244
10.02,11.36,9.6591,167,9.96,2023-01-23T05:00:00Z,20443,10.511436
9.745,10.01,9.644,26,9.815,2023-01-24T05:00:00Z,8779,9.931426
10.2301,10.35,9.755,533,10.34,2023-01-25T05:00:00Z,34116,11.654905
10.49,31.15,10.3,5638,22.76,2023-01-26T05:00:00Z,245163,19.054186
8.2,15.08,7.1,5395,14.78,2023-01-27T05:00:00Z,397473,9.857285
10.0,16.13,7.5,5944,8.01,2023-01-30T05:00:00Z,538197,12.75381
9.18,11.0,8.4,1513,9.93,2023-01-31T05:00:00Z,102241,9.441287
9.8695,10.93,8.2,2307,8.81,2023-02-01T05:00:00Z,376224,9.761344
8.45,10.13,8.25,2237,9.67,2023-02-02T05:00:00Z,190180,9.126321
8.34,8.641,8.01,541,8.34,2023-02-03T05:00:00Z,41674,8.284067
8.0,8.49,7.5947,856,8.09,2023-02-06T05:00:00Z,83056,7.927937
7.04,7.7,6.85,932,7.7,2023-02-07T05:00:00Z,155721,7.301437
5.95,7.25,5.52,1376,7.25,2023-02-08T05:00:00Z,240649,6.36797
5.35,6.0,4.78,1334,6.0,2023-02-09T05:00:00Z,238774,5.322294
5.6,5.74,5.001,689,5.34,2023-02-10T05:00:00Z,100764,5.331631
5.62,5.75,5.35,1648,5.56,2023-02-13T05:00:00Z,218646,5.569243
5.75,5.89,5.5,385,5.56,2023-02-14T05:00:00Z,54297,5.704845
5.15,6.15,5.1226,2924,5.69,2023-02-15T05:00:00Z,510380,5.821792
5.15,5.7,5.1001,531,5.5,2023-02-16T05:00:00Z,47680,5.316763
4.93,5.285,4.93,331,5.16,2023-02-17T05:00:00Z,34812,5.068459
4.9899,5.43,4.22,550,4.96,2023-02-21T05:00:00Z,73179,4.825213
4.71,4.9,4.54,373,4.75,2023-02-22T05:00:00Z,43860,4.761392
4.28,4.85,4.26,347,4.75,2023-02-23T05:00:00Z,51217,4.563569
4.2654,4.43,4.0,403,4.43,2023-02-24T05:00:00Z,40101,4.194658
4.14,4.7085,3.95,495,4.3,2023-02-27T05:00:00Z,61694,4.12443
4.4,4.84,4.0,686,4.0,2023-02-28T05:00:00Z,99713,4.48121
4.65,4.86,4.41,387,4.785,2023-03-01T05:00:00Z,36588,4.693844
4.46,4.85,4.26,546,4.73,2023-03-02T05:00:00Z,61969,4.609117
4.25,4.5439,4.09,358,4.39,2023-03-03T05:00:00Z,47806,4.300978
4.18,4.69,4.05,604,4.15,2023-03-06T05:00:00Z,68607,4.288977
4.23,4.2994,4.12,297,4.25,2023-03-07T05:00:00Z,10677,4.214864
4.14,4.2574,4.03,521,4.16,2023-03-08T05:00:00Z,18646,4.153479
4.49,4.7899,4.3,1777,4.35,2023-03-09T05:00:00Z,249820,4.512815
4.5,4.65,4.28,849,4.28,2023-03-10T05:00:00Z,94908,4.440333
4.41,4.6499,4.0,940,4.45,2023-03-13T04:00:00Z,126779,4.34619
4.03,4.3587,3.9901,789,4.2501,2023-03-14T04:00:00Z,84231,4.168532
3.99,4.04,3.48,2786,3.95,2023-03-15T04:00:00Z,308270,3.94234
3.55,3.9999,3.45,552,3.85,2023-03-16T04:00:00Z,72651,3.584334
3.14,3.59,2.86,744,3.59,2023-03-17T04:00:00Z,59930,3.092893
3.54,3.65,3.02,554,3.09,2023-03-20T04:00:00Z,31857,3.341306
4.0,4.12,3.4,365,3.55,2023-03-21T04:00:00Z,21904,3.855522
3.655,3.925,3.56,317,3.92,2023-03-22T04:00:00Z,21171,3.807184
3.89,4.05,3.4501,212,3.4501,2023-03-23T04:00:00Z,30047,3.835407
3.545,3.75,3.5,408,3.75,2023-03-24T04:00:00Z,42765,3.650033
3.42,3.55,3.41,77,3.55,2023-03-27T04:00:00Z,2752,3.482606
3.51,3.6226,3.41,404,3.5,2023-03-28T04:00:00Z,90061,3.504576
3.53,3.5899,3.45,185,3.46,2023-03-29T04:00:00Z,20893,3.475391
3.53,3.655,3.49,211,3.49,2023-03-30T04:00:00Z,23959,3.552787
3.45,3.5799,3.45,335,3.55,2023-03-31T04:00:00Z,57757,3.514344
3.25,3.59,3.16,316,3.525,2023-04-03T04:00:00Z,64061,3.391262
2.85,3.5,2.74,603,2.92,2023-04-04T04:00:00Z,86024,3.125909
2.89,3.245,2.85,395,2.86,2023-04-05T04:00:00Z,37878,2.940143
